시군명,측정년도,측정월,미세먼지(PM10),측정년도_연도
강릉시,2017년,01월,48.0,2017
강릉시,2017년,02월,52.0,2017
강릉시,2017년,03월,62.0,2017
강릉시,2017년,04월,55.0,2017
강릉시,2017년,05월,61.0,2017
강릉시,2017년,06월,38.0,2017
강릉시,2017년,07월,33.0,2017
강릉시,2017년,08월,29.0,2017
강릉시,2017년,09월,41.0,2017
강릉시,2017년,10월,39.0,2017
강릉시,2017년,11월,37.0,2017
강릉시,2017년,12월,29.0,2017
강릉시,2018년,01월,33.0,2018
강릉시,2018년,02월,37.0,2018
강릉시,2018년,03월,37.0,2018
강릉시,2018년,04월,49.0,2018
강릉시,2018년,05월,47.0,2018
강릉시,2018년,06월,37.0,2018
강릉시,2018년,07월,32.0,2018
강릉시,2018년,08월,31.0,2018
강릉시,2018년,09월,24.0,2018
강릉시,2018년,10월,0.0,2018
강릉시,2018년,11월,46.0,2018
강릉시,2018년,12월,30.0,2018
강릉시,2019년,01월,41.0,2019
강릉시,2019년,02월,42.0,2019
강릉시,2019년,03월,51.0,2019
강릉시,2019년,04월,36.0,2019
강릉시,2019년,05월,47.0,2019
강릉시,2019년,06월,32.0,2019
강릉시,2019년,07월,29.0,2019
강릉시,2019년,08월,28.0,2019
강릉시,2019년,09월,25.0,2019
강릉시,2019년,10월,29.0,2019
강릉시,2019년,11월,0.0,2019
강릉시,2019년,12월,30.0,2019
강릉시,2020년,01월,25.0,2020
강릉시,2020년,02월,32.0,2020
강릉시,2020년,03월,36.0,2020
강릉시,2020년,04월,38.0,2020
강릉시,2020년,05월,32.0,2020
강릉시,2020년,06월,42.0,2020
강릉시,2020년,07월,14.0,2020
강릉시,2020년,08월,17.0,2020
강릉시,2020년,09월,27.0,2020
강릉시,2020년,10월,31.0,2020
강릉시,2020년,11월,32.0,2020
강릉시,2020년,12월,30.0,2020
강릉시,2021년,01월,32.0,2021
강릉시,2021년,02월,39.0,2021
강릉시,2021년,03월,55.0,2021
강릉시,2021년,04월,45.0,2021
강릉시,2021년,05월,50.0,2021
강릉시,2021년,06월,28.0,2021
강릉시,2021년,07월,21.0,2021
강릉시,2021년,08월,20.0,2021
강릉시,2021년,09월,15.0,2021
강릉시,2021년,10월,21.0,2021
강릉시,2021년,11월,32.0,2021
강릉시,2021년,12월,26.0,2021
강릉시,2022년,01월,29.0,2022
강릉시,2022년,02월,27.0,2022
강릉시,2022년,03월,0.0,2022
강릉시,2022년,04월,39.0,2022
강릉시,2022년,05월,29.0,2022
강릉시,2022년,06월,23.0,2022
강릉시,2022년,07월,20.0,2022
강릉시,2022년,08월,18.0,2022
강릉시,2022년,09월,20.0,2022
강릉시,2022년,10월,20.0,2022
강릉시,2022년,11월,32.0,2022
강릉시,2022년,12월,30.0,2022
강릉시,2023년,01월,30.0,2023
강릉시,2023년,02월,33.0,2023
강릉시,2023년,03월,53.0,2023
강릉시,2023년,04월,70.0,2023
강릉시,2023년,05월,37.0,2023
강릉시,2023년,06월,21.0,2023
강릉시,2023년,07월,23.0,2023
강릉시,2023년,08월,15.0,2023
강릉시,2023년,09월,13.0,2023
강릉시,2023년,10월,18.0,2023
강릉시,2023년,11월,18.0,2023
강릉시,2023년,12월,23.0,2023
