강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 동해
기간 : 20170101~20240101

날짜,지점,강수량(mm)
2017-01-01,106,
2017-01-02,106,
2017-01-03,106,
2017-01-04,106,
2017-01-05,106,25.4
2017-01-06,106,2.8
2017-01-07,106,
2017-01-08,106,2.2
2017-01-09,106,
2017-01-10,106,
2017-01-11,106,
2017-01-12,106,
2017-01-13,106,
2017-01-14,106,
2017-01-15,106,
2017-01-16,106,
2017-01-17,106,
2017-01-18,106,
2017-01-19,106,
2017-01-20,106,1.8
2017-01-21,106,0
2017-01-22,106,0
2017-01-23,106,
2017-01-24,106,
2017-01-25,106,
2017-01-26,106,
2017-01-27,106,0
2017-01-28,106,
2017-01-29,106,2.5
2017-01-30,106,0.2
2017-01-31,106,
2017-02-01,106,
2017-02-02,106,
2017-02-03,106,
2017-02-04,106,
2017-02-05,106,0
2017-02-06,106,
2017-02-07,106,
2017-02-08,106,
2017-02-09,106,0
2017-02-10,106,
2017-02-11,106,
2017-02-12,106,
2017-02-13,106,
2017-02-14,106,
2017-02-15,106,
2017-02-16,106,
2017-02-17,106,0
2017-02-18,106,
2017-02-19,106,
2017-02-20,106,0
2017-02-21,106,
2017-02-22,106,5.5
2017-02-23,106,0.2
2017-02-24,106,
2017-02-25,106,
2017-02-26,106,
2017-02-27,106,
2017-02-28,106,
2017-03-01,106,0
2017-03-02,106,11
2017-03-03,106,
2017-03-04,106,
2017-03-05,106,0
2017-03-06,106,
2017-03-07,106,
2017-03-08,106,
2017-03-09,106,
2017-03-10,106,
2017-03-11,106,
2017-03-12,106,
2017-03-13,106,
2017-03-14,106,8.1
2017-03-15,106,
2017-03-16,106,
2017-03-17,106,
2017-03-18,106,
2017-03-19,106,
2017-03-20,106,
2017-03-21,106,12.6
2017-03-22,106,
2017-03-23,106,0
2017-03-24,106,0
2017-03-25,106,1.3
2017-03-26,106,2.6
2017-03-27,106,0
2017-03-28,106,
2017-03-29,106,
2017-03-30,106,
2017-03-31,106,5.2
2017-04-01,106,6.4
2017-04-02,106,3.8
2017-04-03,106,
2017-04-04,106,
2017-04-05,106,1.2
2017-04-06,106,1
2017-04-07,106,
2017-04-08,106,
2017-04-09,106,2.1
2017-04-10,106,
2017-04-11,106,8.8
2017-04-12,106,0
2017-04-13,106,
2017-04-14,106,0
2017-04-15,106,
2017-04-16,106,
2017-04-17,106,18.4
2017-04-18,106,2.7
2017-04-19,106,
2017-04-20,106,
2017-04-21,106,
2017-04-22,106,0.6
2017-04-23,106,
2017-04-24,106,
2017-04-25,106,
2017-04-26,106,0.1
2017-04-27,106,
2017-04-28,106,
2017-04-29,106,
2017-04-30,106,
2017-05-01,106,
2017-05-02,106,
2017-05-03,106,
2017-05-04,106,
2017-05-05,106,
2017-05-06,106,
2017-05-07,106,
2017-05-08,106,
2017-05-09,106,1.7
2017-05-10,106,1.3
2017-05-11,106,
2017-05-12,106,
2017-05-13,106,2
2017-05-14,106,
2017-05-15,106,
2017-05-16,106,
2017-05-17,106,
2017-05-18,106,
2017-05-19,106,
2017-05-20,106,
2017-05-21,106,
2017-05-22,106,
2017-05-23,106,
2017-05-24,106,12.9
2017-05-25,106,
2017-05-26,106,0
2017-05-27,106,0
2017-05-28,106,
2017-05-29,106,
2017-05-30,106,
2017-05-31,106,
2017-06-01,106,43.1
2017-06-02,106,
2017-06-03,106,0
2017-06-04,106,0.5
2017-06-05,106,0
2017-06-06,106,2.6
2017-06-07,106,0
2017-06-08,106,
2017-06-09,106,
2017-06-10,106,0
2017-06-11,106,
2017-06-12,106,
2017-06-13,106,12.8
2017-06-14,106,
2017-06-15,106,
2017-06-16,106,
2017-06-17,106,
2017-06-18,106,
2017-06-19,106,
2017-06-20,106,
2017-06-21,106,
2017-06-22,106,
2017-06-23,106,0
2017-06-24,106,1
2017-06-25,106,1.5
2017-06-26,106,
2017-06-27,106,0.2
2017-06-28,106,
2017-06-29,106,
2017-06-30,106,
2017-07-01,106,0.7
2017-07-02,106,31.7
2017-07-03,106,24.5
2017-07-04,106,46
2017-07-05,106,
2017-07-06,106,
2017-07-07,106,0.1
2017-07-08,106,8.8
2017-07-09,106,0.3
2017-07-10,106,3.9
2017-07-11,106,3.2
2017-07-12,106,
2017-07-13,106,
2017-07-14,106,
2017-07-15,106,3.4
2017-07-16,106,10.7
2017-07-17,106,
2017-07-18,106,
2017-07-19,106,
2017-07-20,106,
2017-07-21,106,
2017-07-22,106,2
2017-07-23,106,5.7
2017-07-24,106,0.7
2017-07-25,106,13.9
2017-07-26,106,
2017-07-27,106,
2017-07-28,106,1.9
2017-07-29,106,17.8
2017-07-30,106,
2017-07-31,106,3.6
2017-08-01,106,0.3
2017-08-02,106,1.8
2017-08-03,106,
2017-08-04,106,
2017-08-05,106,
2017-08-06,106,19
2017-08-07,106,0.1
2017-08-08,106,
2017-08-09,106,12.5
2017-08-10,106,74.5
2017-08-11,106,125.8
2017-08-12,106,0
2017-08-13,106,2.5
2017-08-14,106,19
2017-08-15,106,67.4
2017-08-16,106,26.1
2017-08-17,106,6.2
2017-08-18,106,4.6
2017-08-19,106,0.1
2017-08-20,106,18.1
2017-08-21,106,1.9
2017-08-22,106,
2017-08-23,106,3.4
2017-08-24,106,11
2017-08-25,106,
2017-08-26,106,
2017-08-27,106,0
2017-08-28,106,8
2017-08-29,106,0.1
2017-08-30,106,
2017-08-31,106,
2017-09-01,106,
2017-09-02,106,
2017-09-03,106,
2017-09-04,106,
2017-09-05,106,0
2017-09-06,106,0.1
2017-09-07,106,
2017-09-08,106,
2017-09-09,106,
2017-09-10,106,
2017-09-11,106,14.4
2017-09-12,106,
2017-09-13,106,
2017-09-14,106,
2017-09-15,106,
2017-09-16,106,0.4
2017-09-17,106,6.8
2017-09-18,106,
2017-09-19,106,5.3
2017-09-20,106,0.1
2017-09-21,106,
2017-09-22,106,
2017-09-23,106,
2017-09-24,106,
2017-09-25,106,
2017-09-26,106,0
2017-09-27,106,3.7
2017-09-28,106,7.5
2017-09-29,106,
2017-09-30,106,
2017-10-01,106,9.1
2017-10-02,106,10.6
2017-10-03,106,7.3
2017-10-04,106,0
2017-10-05,106,
2017-10-06,106,9.1
2017-10-07,106,0.2
2017-10-08,106,
2017-10-09,106,
2017-10-10,106,3.9
2017-10-11,106,5.8
2017-10-12,106,6
2017-10-13,106,
2017-10-14,106,
2017-10-15,106,
2017-10-16,106,
2017-10-17,106,
2017-10-18,106,2.1
2017-10-19,106,0.3
2017-10-20,106,
2017-10-21,106,
2017-10-22,106,
2017-10-23,106,
2017-10-24,106,
2017-10-25,106,
2017-10-26,106,
2017-10-27,106,
2017-10-28,106,
2017-10-29,106,67.2
2017-10-30,106,3.2
2017-10-31,106,
2017-11-01,106,
2017-11-02,106,
2017-11-03,106,0
2017-11-04,106,30.7
2017-11-05,106,
2017-11-06,106,
2017-11-07,106,
2017-11-08,106,
2017-11-09,106,
2017-11-10,106,0
2017-11-11,106,
2017-11-12,106,
2017-11-13,106,
2017-11-14,106,
2017-11-15,106,
2017-11-16,106,
2017-11-17,106,
2017-11-18,106,0
2017-11-19,106,
2017-11-20,106,
2017-11-21,106,
2017-11-22,106,
2017-11-23,106,
2017-11-24,106,
2017-11-25,106,0.1
2017-11-26,106,0.4
2017-11-27,106,
2017-11-28,106,
2017-11-29,106,
2017-11-30,106,
2017-12-01,106,
2017-12-02,106,
2017-12-03,106,
2017-12-04,106,
2017-12-05,106,
2017-12-06,106,
2017-12-07,106,
2017-12-08,106,
2017-12-09,106,
2017-12-10,106,
2017-12-11,106,
2017-12-12,106,
2017-12-13,106,
2017-12-14,106,
2017-12-15,106,
2017-12-16,106,
2017-12-17,106,
2017-12-18,106,0
2017-12-19,106,
2017-12-20,106,
2017-12-21,106,
2017-12-22,106,
2017-12-23,106,
2017-12-24,106,4
2017-12-25,106,
2017-12-26,106,
2017-12-27,106,
2017-12-28,106,
2017-12-29,106,
2017-12-30,106,
2017-12-31,106,
2018-01-01,106,
2018-01-02,106,
2018-01-03,106,
2018-01-04,106,
2018-01-05,106,
2018-01-06,106,
2018-01-07,106,
2018-01-08,106,0
2018-01-09,106,0
2018-01-10,106,
2018-01-11,106,
2018-01-12,106,
2018-01-13,106,
2018-01-14,106,
2018-01-15,106,
2018-01-16,106,0
2018-01-17,106,4.4
2018-01-18,106,
2018-01-19,106,
2018-01-20,106,
2018-01-21,106,
2018-01-22,106,0
2018-01-23,106,
2018-01-24,106,
2018-01-25,106,
2018-01-26,106,
2018-01-27,106,
2018-01-28,106,
2018-01-29,106,
2018-01-30,106,
2018-01-31,106,
2018-02-01,106,
2018-02-02,106,
2018-02-03,106,
2018-02-04,106,
2018-02-05,106,
2018-02-06,106,
2018-02-07,106,
2018-02-08,106,
2018-02-09,106,
2018-02-10,106,
2018-02-11,106,
2018-02-12,106,
2018-02-13,106,
2018-02-14,106,
2018-02-15,106,
2018-02-16,106,
2018-02-17,106,
2018-02-18,106,
2018-02-19,106,
2018-02-20,106,
2018-02-21,106,
2018-02-22,106,
2018-02-23,106,0.2
2018-02-24,106,0.7
2018-02-25,106,
2018-02-26,106,
2018-02-27,106,
2018-02-28,106,52.5
2018-03-01,106,2.8
2018-03-02,106,
2018-03-03,106,
2018-03-04,106,10.7
2018-03-05,106,32.5
2018-03-06,106,
2018-03-07,106,1
2018-03-08,106,16.8
2018-03-09,106,2.9
2018-03-10,106,
2018-03-11,106,
2018-03-12,106,
2018-03-13,106,
2018-03-14,106,
2018-03-15,106,3.6
2018-03-16,106,0
2018-03-17,106,
2018-03-18,106,0
2018-03-19,106,16.6
2018-03-20,106,
2018-03-21,106,8.5
2018-03-22,106,
2018-03-23,106,
2018-03-24,106,
2018-03-25,106,
2018-03-26,106,
2018-03-27,106,
2018-03-28,106,
2018-03-29,106,
2018-03-30,106,
2018-03-31,106,
2018-04-01,106,
2018-04-02,106,
2018-04-03,106,0
2018-04-04,106,26.8
2018-04-05,106,6.2
2018-04-06,106,11
2018-04-07,106,0
2018-04-08,106,0.1
2018-04-09,106,0
2018-04-10,106,
2018-04-11,106,1.6
2018-04-12,106,
2018-04-13,106,
2018-04-14,106,16
2018-04-15,106,0.1
2018-04-16,106,0
2018-04-17,106,
2018-04-18,106,
2018-04-19,106,
2018-04-20,106,
2018-04-21,106,
2018-04-22,106,0.1
2018-04-23,106,50.1
2018-04-24,106,19.8
2018-04-25,106,
2018-04-26,106,
2018-04-27,106,
2018-04-28,106,
2018-04-29,106,
2018-04-30,106,
2018-05-01,106,
2018-05-02,106,18.8
2018-05-03,106,2.9
2018-05-04,106,
2018-05-05,106,
2018-05-06,106,3.7
2018-05-07,106,0.2
