ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Àü¿î·®(1/10),Æò±Õ ÁßÇÏÃþ¿î·®(1/10)
105,°­¸ª,2017-01-01,6.6,,
105,°­¸ª,2017-01-02,8.6,,
105,°­¸ª,2017-01-03,6.8,,
105,°­¸ª,2017-01-04,6.1,,
105,°­¸ª,2017-01-05,2.5,,
105,°­¸ª,2017-01-06,4.9,,
105,°­¸ª,2017-01-07,6.5,,
105,°­¸ª,2017-01-08,5.5,,
105,°­¸ª,2017-01-09,5.8,,
105,°­¸ª,2017-01-10,1.2,,
105,°­¸ª,2017-01-11,-1.1,,
105,°­¸ª,2017-01-12,1.2,,
105,°­¸ª,2017-01-13,-2.3,,
105,°­¸ª,2017-01-14,-5.6,,
105,°­¸ª,2017-01-15,-1.8,,
105,°­¸ª,2017-01-16,-0.9,,
105,°­¸ª,2017-01-17,2.2,,
105,°­¸ª,2017-01-18,3.1,,
105,°­¸ª,2017-01-19,2.4,,
105,°­¸ª,2017-01-20,-1.4,,
105,°­¸ª,2017-01-21,-2.1,,
105,°­¸ª,2017-01-22,-4.1,,
105,°­¸ª,2017-01-23,-5.4,,
105,°­¸ª,2017-01-24,-2.9,,
105,°­¸ª,2017-01-25,-0.6,,
105,°­¸ª,2017-01-26,2.7,,
105,°­¸ª,2017-01-27,3.3,,
105,°­¸ª,2017-01-28,2.3,,
105,°­¸ª,2017-01-29,3.0,,
105,°­¸ª,2017-01-30,-0.2,,
105,°­¸ª,2017-01-31,-0.8,,
105,°­¸ª,2017-02-01,0.5,,
105,°­¸ª,2017-02-02,3.3,,
105,°­¸ª,2017-02-03,5.1,,
105,°­¸ª,2017-02-04,7.8,,
105,°­¸ª,2017-02-05,6.1,,
105,°­¸ª,2017-02-06,2.1,,
105,°­¸ª,2017-02-07,1.6,,
105,°­¸ª,2017-02-08,3.0,,
105,°­¸ª,2017-02-09,-1.0,,
105,°­¸ª,2017-02-10,-4.1,,
105,°­¸ª,2017-02-11,-2.1,,
105,°­¸ª,2017-02-12,0.9,,
105,°­¸ª,2017-02-13,2.5,,
105,°­¸ª,2017-02-14,1.9,,
105,°­¸ª,2017-02-15,7.2,,
105,°­¸ª,2017-02-16,12.1,,
105,°­¸ª,2017-02-17,7.6,,
105,°­¸ª,2017-02-18,1.8,,
105,°­¸ª,2017-02-19,4.9,,
105,°­¸ª,2017-02-20,4.3,,
105,°­¸ª,2017-02-21,1.5,,
105,°­¸ª,2017-02-22,4.0,,
105,°­¸ª,2017-02-23,3.2,,
105,°­¸ª,2017-02-24,2.0,,
105,°­¸ª,2017-02-25,5.1,,
105,°­¸ª,2017-02-26,3.6,,
105,°­¸ª,2017-02-27,4.7,,
105,°­¸ª,2017-02-28,8.7,,
105,°­¸ª,2017-03-01,8.5,,
105,°­¸ª,2017-03-02,3.2,,
105,°­¸ª,2017-03-03,6.5,,
105,°­¸ª,2017-03-04,7.0,,
105,°­¸ª,2017-03-05,6.6,,
105,°­¸ª,2017-03-06,3.6,,
105,°­¸ª,2017-03-07,1.3,,
105,°­¸ª,2017-03-08,2.1,,
105,°­¸ª,2017-03-09,5.7,,
105,°­¸ª,2017-03-10,5.3,,
105,°­¸ª,2017-03-11,8.8,,
105,°­¸ª,2017-03-12,11.2,,
105,°­¸ª,2017-03-13,6.9,,
105,°­¸ª,2017-03-14,2.6,,
105,°­¸ª,2017-03-15,3.7,,
105,°­¸ª,2017-03-16,6.1,,
105,°­¸ª,2017-03-17,8.7,,
105,°­¸ª,2017-03-18,12.0,,
105,°­¸ª,2017-03-19,10.5,,
105,°­¸ª,2017-03-20,12.0,,
105,°­¸ª,2017-03-21,6.1,,
105,°­¸ª,2017-03-22,8.0,,
105,°­¸ª,2017-03-23,7.0,,
105,°­¸ª,2017-03-24,6.7,,
105,°­¸ª,2017-03-25,6.0,,
105,°­¸ª,2017-03-26,6.3,,
105,°­¸ª,2017-03-27,7.1,,
105,°­¸ª,2017-03-28,9.1,,
105,°­¸ª,2017-03-29,11.6,,
105,°­¸ª,2017-03-30,12.2,,
105,°­¸ª,2017-03-31,7.2,,
105,°­¸ª,2017-04-01,5.8,,
105,°­¸ª,2017-04-02,9.7,,
105,°­¸ª,2017-04-03,16.5,,
105,°­¸ª,2017-04-04,17.3,,
105,°­¸ª,2017-04-05,15.0,,
105,°­¸ª,2017-04-06,15.1,,
105,°­¸ª,2017-04-07,14.9,,
105,°­¸ª,2017-04-08,16.1,,
105,°­¸ª,2017-04-09,10.6,,
105,°­¸ª,2017-04-10,10.1,,
105,°­¸ª,2017-04-11,11.0,,
105,°­¸ª,2017-04-12,12.6,,
105,°­¸ª,2017-04-13,14.8,,
105,°­¸ª,2017-04-14,17.4,,
105,°­¸ª,2017-04-15,20.7,,
105,°­¸ª,2017-04-16,23.0,,
105,°­¸ª,2017-04-17,13.8,,
105,°­¸ª,2017-04-18,13.9,,
105,°­¸ª,2017-04-19,14.3,,
105,°­¸ª,2017-04-20,15.6,,
105,°­¸ª,2017-04-21,13.1,,
105,°­¸ª,2017-04-22,13.5,,
105,°­¸ª,2017-04-23,19.0,,
105,°­¸ª,2017-04-24,19.7,,
105,°­¸ª,2017-04-25,18.5,,
105,°­¸ª,2017-04-26,14.3,,
105,°­¸ª,2017-04-27,14.0,,
105,°­¸ª,2017-04-28,17.7,,
105,°­¸ª,2017-04-29,19.9,,
105,°­¸ª,2017-04-30,23.3,,
105,°­¸ª,2017-05-01,16.0,,
105,°­¸ª,2017-05-02,15.2,,
105,°­¸ª,2017-05-03,18.7,,
105,°­¸ª,2017-05-04,21.1,,
105,°­¸ª,2017-05-05,23.6,,
105,°­¸ª,2017-05-06,18.8,,
105,°­¸ª,2017-05-07,19.7,,
105,°­¸ª,2017-05-08,22.8,,
105,°­¸ª,2017-05-09,14.9,,
105,°­¸ª,2017-05-10,15.0,,
105,°­¸ª,2017-05-11,22.8,,
105,°­¸ª,2017-05-12,22.8,,
105,°­¸ª,2017-05-13,16.7,,
105,°­¸ª,2017-05-14,18.7,,
105,°­¸ª,2017-05-15,17.6,,
105,°­¸ª,2017-05-16,16.5,,
105,°­¸ª,2017-05-17,19.1,,
105,°­¸ª,2017-05-18,24.7,,
105,°­¸ª,2017-05-19,27.3,,
105,°­¸ª,2017-05-20,26.4,,
105,°­¸ª,2017-05-21,24.7,,
105,°­¸ª,2017-05-22,17.7,,
105,°­¸ª,2017-05-23,19.1,,
105,°­¸ª,2017-05-24,18.8,,
105,°­¸ª,2017-05-25,19.8,,
105,°­¸ª,2017-05-26,14.0,,
105,°­¸ª,2017-05-27,17.3,,
105,°­¸ª,2017-05-28,24.4,,
105,°­¸ª,2017-05-29,24.2,,
105,°­¸ª,2017-05-30,26.7,,
105,°­¸ª,2017-05-31,25.1,,
105,°­¸ª,2017-06-01,18.5,,
105,°­¸ª,2017-06-02,16.5,,
105,°­¸ª,2017-06-03,17.7,,
105,°­¸ª,2017-06-04,18.9,,
105,°­¸ª,2017-06-05,17.7,,
105,°­¸ª,2017-06-06,17.1,,
105,°­¸ª,2017-06-07,16.7,,
105,°­¸ª,2017-06-08,23.9,,
105,°­¸ª,2017-06-09,24.7,,
105,°­¸ª,2017-06-10,19.3,,
105,°­¸ª,2017-06-11,17.2,,
105,°­¸ª,2017-06-12,17.1,,
105,°­¸ª,2017-06-13,18.4,,
105,°­¸ª,2017-06-14,23.8,,
105,°­¸ª,2017-06-15,23.0,,
105,°­¸ª,2017-06-16,20.1,,
105,°­¸ª,2017-06-17,21.0,,
105,°­¸ª,2017-06-18,22.9,,
105,°­¸ª,2017-06-19,24.2,,
105,°­¸ª,2017-06-20,23.4,,
105,°­¸ª,2017-06-21,22.7,,
105,°­¸ª,2017-06-22,25.1,,
105,°­¸ª,2017-06-23,22.8,,
105,°­¸ª,2017-06-24,21.4,,
105,°­¸ª,2017-06-25,21.6,,
105,°­¸ª,2017-06-26,21.5,,
105,°­¸ª,2017-06-27,22.8,,
105,°­¸ª,2017-06-28,22.9,,
105,°­¸ª,2017-06-29,24.1,,
105,°­¸ª,2017-06-30,29.0,,
105,°­¸ª,2017-07-01,28.2,,
105,°­¸ª,2017-07-02,24.1,,
105,°­¸ª,2017-07-03,24.4,,
105,°­¸ª,2017-07-04,23.2,,
105,°­¸ª,2017-07-05,24.8,,
105,°­¸ª,2017-07-06,25.1,,
105,°­¸ª,2017-07-07,24.1,,
105,°­¸ª,2017-07-08,26.4,,
105,°­¸ª,2017-07-09,30.0,,
105,°­¸ª,2017-07-10,27.0,,
105,°­¸ª,2017-07-11,28.8,,
105,°­¸ª,2017-07-12,31.2,,
105,°­¸ª,2017-07-13,31.8,,
105,°­¸ª,2017-07-14,31.2,,
105,°­¸ª,2017-07-15,28.7,,
105,°­¸ª,2017-07-16,28.7,,
105,°­¸ª,2017-07-17,30.7,,
105,°­¸ª,2017-07-18,29.7,,
105,°­¸ª,2017-07-19,30.1,,
105,°­¸ª,2017-07-20,31.0,,
105,°­¸ª,2017-07-21,31.6,,
105,°­¸ª,2017-07-22,23.5,,
105,°­¸ª,2017-07-23,22.9,,
105,°­¸ª,2017-07-24,24.2,,
105,°­¸ª,2017-07-25,24.5,,
105,°­¸ª,2017-07-26,24.5,,
105,°­¸ª,2017-07-27,24.0,,
105,°­¸ª,2017-07-28,23.4,,
105,°­¸ª,2017-07-29,23.2,,
105,°­¸ª,2017-07-30,25.6,,
105,°­¸ª,2017-07-31,23.0,,
105,°­¸ª,2017-08-01,24.1,,
105,°­¸ª,2017-08-02,24.5,,
105,°­¸ª,2017-08-03,25.1,,
105,°­¸ª,2017-08-04,27.1,,
105,°­¸ª,2017-08-05,27.5,,
105,°­¸ª,2017-08-06,27.4,,
105,°­¸ª,2017-08-07,27.0,,
105,°­¸ª,2017-08-08,27.8,,
105,°­¸ª,2017-08-09,24.4,,
105,°­¸ª,2017-08-10,23.3,,
105,°­¸ª,2017-08-11,23.1,,
105,°­¸ª,2017-08-12,23.5,,
105,°­¸ª,2017-08-13,23.2,,
105,°­¸ª,2017-08-14,22.2,,
105,°­¸ª,2017-08-15,22.1,,
105,°­¸ª,2017-08-16,20.9,,
105,°­¸ª,2017-08-17,21.4,,
105,°­¸ª,2017-08-18,23.1,,
105,°­¸ª,2017-08-19,22.5,,
105,°­¸ª,2017-08-20,22.4,,
105,°­¸ª,2017-08-21,25.0,,
105,°­¸ª,2017-08-22,27.8,,
105,°­¸ª,2017-08-23,28.3,,
105,°­¸ª,2017-08-24,28.4,,
105,°­¸ª,2017-08-25,26.3,,
105,°­¸ª,2017-08-26,24.1,,
105,°­¸ª,2017-08-27,22.9,,
105,°­¸ª,2017-08-28,23.9,,
105,°­¸ª,2017-08-29,20.9,,
105,°­¸ª,2017-08-30,21.0,,
105,°­¸ª,2017-08-31,21.1,,
105,°­¸ª,2017-09-01,20.2,,
105,°­¸ª,2017-09-02,19.9,,
105,°­¸ª,2017-09-03,20.9,,
