지점,지점명,일시,평균기온(°C),평균 전운량(1/10),평균 중하층운량(1/10)
106,동해,2017-01-01,7.1,,
106,동해,2017-01-02,10.0,,
106,동해,2017-01-03,8.2,,
106,동해,2017-01-04,7.7,,
106,동해,2017-01-05,4.0,,
106,동해,2017-01-06,5.6,,
106,동해,2017-01-07,6.6,,
106,동해,2017-01-08,7.7,,
106,동해,2017-01-09,7.3,,
106,동해,2017-01-10,3.0,,
106,동해,2017-01-11,0.9,,
106,동해,2017-01-12,3.4,,
106,동해,2017-01-13,-0.2,,
106,동해,2017-01-14,-3.7,,
106,동해,2017-01-15,0.2,,
106,동해,2017-01-16,1.8,,
106,동해,2017-01-17,3.2,,
106,동해,2017-01-18,4.5,,
106,동해,2017-01-19,3.8,,
106,동해,2017-01-20,1.5,,
106,동해,2017-01-21,-0.3,,
106,동해,2017-01-22,-2.0,,
106,동해,2017-01-23,-3.0,,
106,동해,2017-01-24,-1.1,,
106,동해,2017-01-25,0.5,,
106,동해,2017-01-26,4.5,,
106,동해,2017-01-27,5.8,,
106,동해,2017-01-28,4.1,,
106,동해,2017-01-29,6.0,,
106,동해,2017-01-30,2.0,,
106,동해,2017-01-31,1.0,,
106,동해,2017-02-01,2.4,,
106,동해,2017-02-02,5.1,,
106,동해,2017-02-03,6.6,,
106,동해,2017-02-04,8.3,,
106,동해,2017-02-05,8.1,,
106,동해,2017-02-06,3.8,,
106,동해,2017-02-07,3.8,,
106,동해,2017-02-08,4.4,,
106,동해,2017-02-09,1.1,,
106,동해,2017-02-10,-2.0,,
106,동해,2017-02-11,-0.4,,
106,동해,2017-02-12,2.0,,
106,동해,2017-02-13,4.0,,
106,동해,2017-02-14,3.6,,
106,동해,2017-02-15,7.7,,
106,동해,2017-02-16,13.4,,
106,동해,2017-02-17,8.8,,
106,동해,2017-02-18,3.7,,
106,동해,2017-02-19,6.2,,
106,동해,2017-02-20,6.8,,
106,동해,2017-02-21,3.6,,
106,동해,2017-02-22,6.0,,
106,동해,2017-02-23,5.5,,
106,동해,2017-02-24,3.5,,
106,동해,2017-02-25,6.6,,
106,동해,2017-02-26,5.5,,
106,동해,2017-02-27,5.2,,
106,동해,2017-02-28,7.9,,
106,동해,2017-03-01,9.9,,
106,동해,2017-03-02,4.9,,
106,동해,2017-03-03,7.6,,
106,동해,2017-03-04,8.3,,
106,동해,2017-03-05,8.1,,
106,동해,2017-03-06,5.2,,
106,동해,2017-03-07,2.7,,
106,동해,2017-03-08,3.9,,
106,동해,2017-03-09,7.4,,
106,동해,2017-03-10,6.8,,
106,동해,2017-03-11,8.7,,
106,동해,2017-03-12,11.9,,
106,동해,2017-03-13,8.5,,
106,동해,2017-03-14,4.7,,
106,동해,2017-03-15,6.2,,
106,동해,2017-03-16,7.3,,
106,동해,2017-03-17,8.5,,
106,동해,2017-03-18,11.9,,
106,동해,2017-03-19,11.0,,
106,동해,2017-03-20,11.6,,
106,동해,2017-03-21,7.4,,
106,동해,2017-03-22,8.3,,
106,동해,2017-03-23,9.2,,
106,동해,2017-03-24,8.2,,
106,동해,2017-03-25,7.9,,
106,동해,2017-03-26,7.4,,
106,동해,2017-03-27,8.2,,
106,동해,2017-03-28,9.6,,
106,동해,2017-03-29,11.2,,
106,동해,2017-03-30,12.6,,
106,동해,2017-03-31,8.8,,
106,동해,2017-04-01,7.4,,
106,동해,2017-04-02,9.7,,
106,동해,2017-04-03,16.1,,
106,동해,2017-04-04,15.5,,
106,동해,2017-04-05,15.4,,
106,동해,2017-04-06,15.8,,
106,동해,2017-04-07,14.7,,
106,동해,2017-04-08,14.5,,
106,동해,2017-04-09,12.0,,
