瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10)
114,盔林,2017-01-01,1.6,,
114,盔林,2017-01-02,3.7,,
114,盔林,2017-01-03,1.4,,
114,盔林,2017-01-04,2.5,,
114,盔林,2017-01-05,3.0,,
114,盔林,2017-01-06,3.9,,
114,盔林,2017-01-07,2.5,,
114,盔林,2017-01-08,6.3,,
114,盔林,2017-01-09,3.7,,
114,盔林,2017-01-10,-1.5,,
114,盔林,2017-01-11,-3.4,,
114,盔林,2017-01-12,-0.7,,
114,盔林,2017-01-13,-4.8,,
114,盔林,2017-01-14,-7.4,,
114,盔林,2017-01-15,-8.0,,
114,盔林,2017-01-16,-5.7,,
114,盔林,2017-01-17,-3.8,,
114,盔林,2017-01-18,-2.0,,
114,盔林,2017-01-19,-1.7,,
114,盔林,2017-01-20,-3.7,,
114,盔林,2017-01-21,-5.8,,
114,盔林,2017-01-22,-6.4,,
114,盔林,2017-01-23,-9.2,,
114,盔林,2017-01-24,-8.9,,
114,盔林,2017-01-25,-7.5,,
114,盔林,2017-01-26,-4.9,,
114,盔林,2017-01-27,-0.7,,
114,盔林,2017-01-28,-2.7,,
114,盔林,2017-01-29,0.5,,
114,盔林,2017-01-30,-3.1,,
114,盔林,2017-01-31,-6.5,,
114,盔林,2017-02-01,-4.3,,
114,盔林,2017-02-02,-4.0,,
114,盔林,2017-02-03,-0.1,,
114,盔林,2017-02-04,-0.2,,
114,盔林,2017-02-05,1.9,,
114,盔林,2017-02-06,-0.7,,
114,盔林,2017-02-07,-2.2,,
114,盔林,2017-02-08,-1.3,,
114,盔林,2017-02-09,-3.7,,
114,盔林,2017-02-10,-5.4,,
114,盔林,2017-02-11,-5.1,,
114,盔林,2017-02-12,-2.7,,
114,盔林,2017-02-13,-1.4,,
114,盔林,2017-02-14,0.6,,
114,盔林,2017-02-15,0.4,,
114,盔林,2017-02-16,5.5,,
114,盔林,2017-02-17,4.5,,
114,盔林,2017-02-18,-1.5,,
114,盔林,2017-02-19,1.8,,
114,盔林,2017-02-20,1.5,,
114,盔林,2017-02-21,-0.3,,
114,盔林,2017-02-22,2.0,,
114,盔林,2017-02-23,0.5,,
114,盔林,2017-02-24,-0.1,,
114,盔林,2017-02-25,2.0,,
114,盔林,2017-02-26,2.6,,
114,盔林,2017-02-27,2.8,,
114,盔林,2017-02-28,4.0,,
114,盔林,2017-03-01,4.8,,
114,盔林,2017-03-02,2.4,,
114,盔林,2017-03-03,2.3,,
114,盔林,2017-03-04,4.2,,
114,盔林,2017-03-05,5.0,,
114,盔林,2017-03-06,1.8,,
114,盔林,2017-03-07,-0.4,,
114,盔林,2017-03-08,0.6,,
114,盔林,2017-03-09,3.6,,
114,盔林,2017-03-10,4.5,,
114,盔林,2017-03-11,6.2,,
114,盔林,2017-03-12,7.8,,
114,盔林,2017-03-13,7.6,,
114,盔林,2017-03-14,4.8,,
114,盔林,2017-03-15,4.5,,
114,盔林,2017-03-16,5.5,,
114,盔林,2017-03-17,7.0,,
