瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10)
211,牢力,2017-01-01,1.2,,
211,牢力,2017-01-02,2.4,,
211,牢力,2017-01-03,1.2,,
211,牢力,2017-01-04,2.1,,
211,牢力,2017-01-05,0.6,,
211,牢力,2017-01-06,1.9,,
211,牢力,2017-01-07,1.3,,
211,牢力,2017-01-08,4.1,,
211,牢力,2017-01-09,2.7,,
211,牢力,2017-01-10,-2.4,,
211,牢力,2017-01-11,-4.3,,
211,牢力,2017-01-12,-2.3,,
211,牢力,2017-01-13,-5.4,,
211,牢力,2017-01-14,-9.5,,
211,牢力,2017-01-15,-9.2,,
211,牢力,2017-01-16,-7.4,,
211,牢力,2017-01-17,-6.0,,
211,牢力,2017-01-18,-4.1,,
211,牢力,2017-01-19,-2.9,,
211,牢力,2017-01-20,-3.3,,
211,牢力,2017-01-21,-5.6,,
211,牢力,2017-01-22,-7.7,,
211,牢力,2017-01-23,-11.2,,
211,牢力,2017-01-24,-10.5,,
211,牢力,2017-01-25,-8.8,,
211,牢力,2017-01-26,-4.7,,
211,牢力,2017-01-27,-2.2,,
211,牢力,2017-01-28,-5.3,,
211,牢力,2017-01-29,-0.6,,
211,牢力,2017-01-30,-2.3,,
211,牢力,2017-01-31,-6.8,,
211,牢力,2017-02-01,-5.9,,
211,牢力,2017-02-02,-6.7,,
211,牢力,2017-02-03,-3.5,,
211,牢力,2017-02-04,-1.7,,
211,牢力,2017-02-05,0.8,,
211,牢力,2017-02-06,-1.4,,
211,牢力,2017-02-07,-3.8,,
211,牢力,2017-02-08,-2.2,,
211,牢力,2017-02-09,-5.2,,
211,牢力,2017-02-10,-7.0,,
211,牢力,2017-02-11,-7.7,,
211,牢力,2017-02-12,-5.5,,
211,牢力,2017-02-13,-3.6,,
211,牢力,2017-02-14,-2.8,,
211,牢力,2017-02-15,-0.9,,
211,牢力,2017-02-16,4.5,,
211,牢力,2017-02-17,4.6,,
211,牢力,2017-02-18,-1.8,,
211,牢力,2017-02-19,-0.9,,
211,牢力,2017-02-20,0.0,,
211,牢力,2017-02-21,-2.1,,
211,牢力,2017-02-22,0.4,,
211,牢力,2017-02-23,-0.2,,
211,牢力,2017-02-24,-1.6,,
211,牢力,2017-02-25,0.5,,
211,牢力,2017-02-26,0.8,,
211,牢力,2017-02-27,0.6,,
211,牢力,2017-02-28,1.8,,
211,牢力,2017-03-01,3.1,,
211,牢力,2017-03-02,2.1,,
211,牢力,2017-03-03,1.3,,
211,牢力,2017-03-04,2.5,,
211,牢力,2017-03-05,3.8,,
211,牢力,2017-03-06,0.7,,
211,牢力,2017-03-07,-1.1,,
211,牢力,2017-03-08,-0.7,,
211,牢力,2017-03-09,2.6,,
211,牢力,2017-03-10,2.2,,
211,牢力,2017-03-11,3.8,,
211,牢力,2017-03-12,5.9,,
211,牢力,2017-03-13,5.4,,
211,牢力,2017-03-14,1.3,,
211,牢力,2017-03-15,2.1,,
211,牢力,2017-03-16,3.4,,
211,牢力,2017-03-17,5.1,,
211,牢力,2017-03-18,7.4,,
211,牢力,2017-03-19,6.9,,
