¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),∆Ú±’ ¿¸øÓ∑Æ(1/10),∆Ú±’ ¡ﬂ«œ√˛øÓ∑Æ(1/10)
101,√·√µ,2017-01-01,-0.4,,
101,√·√µ,2017-01-02,2.8,,
101,√·√µ,2017-01-03,0.6,,
101,√·√µ,2017-01-04,1.0,,
101,√·√µ,2017-01-05,2.1,,
101,√·√µ,2017-01-06,3.1,,
101,√·√µ,2017-01-07,0.8,,
101,√·√µ,2017-01-08,5.1,,
101,√·√µ,2017-01-09,3.4,,
101,√·√µ,2017-01-10,-2.7,,
101,√·√µ,2017-01-11,-4.1,,
101,√·√µ,2017-01-12,-2.1,,
101,√·√µ,2017-01-13,-4.8,,
101,√·√µ,2017-01-14,-9.0,,
101,√·√µ,2017-01-15,-8.9,,
101,√·√µ,2017-01-16,-6.6,,
101,√·√µ,2017-01-17,-4.7,,
101,√·√µ,2017-01-18,-3.2,,
101,√·√µ,2017-01-19,-2.4,,
101,√·√µ,2017-01-20,-2.5,,
101,√·√µ,2017-01-21,-5.7,,
101,√·√µ,2017-01-22,-7.1,,
101,√·√µ,2017-01-23,-10.0,,
101,√·√µ,2017-01-24,-9.0,,
101,√·√µ,2017-01-25,-7.7,,
101,√·√µ,2017-01-26,-4.2,,
101,√·√µ,2017-01-27,-1.6,,
101,√·√µ,2017-01-28,-5.0,,
101,√·√µ,2017-01-29,-0.2,,
101,√·√µ,2017-01-30,-2.3,,
101,√·√µ,2017-01-31,-7.5,,
101,√·√µ,2017-02-01,-6.0,,
101,√·√µ,2017-02-02,-5.8,,
101,√·√µ,2017-02-03,-2.5,,
101,√·√µ,2017-02-04,-2.1,,
101,√·√µ,2017-02-05,1.3,,
101,√·√µ,2017-02-06,-1.4,,
101,√·√µ,2017-02-07,-3.5,,
101,√·√µ,2017-02-08,-2.1,,
101,√·√µ,2017-02-09,-4.6,,
101,√·√µ,2017-02-10,-6.3,,
101,√·√µ,2017-02-11,-6.3,,
101,√·√µ,2017-02-12,-4.0,,
101,√·√µ,2017-02-13,-2.5,,
101,√·√µ,2017-02-14,-1.4,,
101,√·√µ,2017-02-15,-0.2,,
101,√·√µ,2017-02-16,3.5,,
101,√·√µ,2017-02-17,4.7,,
101,√·√µ,2017-02-18,-1.5,,
101,√·√µ,2017-02-19,-0.7,,
101,√·√µ,2017-02-20,0.0,,
101,√·√µ,2017-02-21,-1.5,,
101,√·√µ,2017-02-22,0.7,,
101,√·√µ,2017-02-23,0.5,,
101,√·√µ,2017-02-24,-1.0,,
101,√·√µ,2017-02-25,1.3,,
101,√·√µ,2017-02-26,1.7,,
101,√·√µ,2017-02-27,1.9,,
101,√·√µ,2017-02-28,3.0,,
101,√·√µ,2017-03-01,4.0,,
101,√·√µ,2017-03-02,3.2,,
101,√·√µ,2017-03-03,2.0,,
101,√·√µ,2017-03-04,3.6,,
101,√·√µ,2017-03-05,4.5,,
101,√·√µ,2017-03-06,1.9,,
101,√·√µ,2017-03-07,0.0,,
101,√·√µ,2017-03-08,0.1,,
101,√·√µ,2017-03-09,3.1,,
101,√·√µ,2017-03-10,3.7,,
101,√·√µ,2017-03-11,5.3,,
101,√·√µ,2017-03-12,7.0,,
101,√·√µ,2017-03-13,6.4,,
101,√·√µ,2017-03-14,4.0,,
101,√·√µ,2017-03-15,3.7,,
101,√·√µ,2017-03-16,4.5,,
101,√·√µ,2017-03-17,6.7,,
101,√·√µ,2017-03-18,9.0,,
101,√·√µ,2017-03-19,8.2,,
101,√·√µ,2017-03-20,7.1,,
101,√·√µ,2017-03-21,4.9,,
101,√·√µ,2017-03-22,6.2,,
101,√·√µ,2017-03-23,7.3,,
101,√·√µ,2017-03-24,6.9,,
101,√·√µ,2017-03-25,4.8,,
101,√·√µ,2017-03-26,6.1,,
101,√·√µ,2017-03-27,4.7,,
101,√·√µ,2017-03-28,4.8,,
101,√·√µ,2017-03-29,6.5,,
101,√·√µ,2017-03-30,9.3,,
101,√·√µ,2017-03-31,7.0,,
101,√·√µ,2017-04-01,7.1,,
101,√·√µ,2017-04-02,7.8,,
101,√·√µ,2017-04-03,10.2,,
101,√·√µ,2017-04-04,12.0,,
101,√·√µ,2017-04-05,10.0,,
101,√·√µ,2017-04-06,12.6,,
101,√·√µ,2017-04-07,16.1,,
101,√·√µ,2017-04-08,16.2,,
101,√·√µ,2017-04-09,13.9,,
101,√·√µ,2017-04-10,14.1,,
101,√·√µ,2017-04-11,15.2,,
101,√·√µ,2017-04-12,11.9,,
101,√·√µ,2017-04-13,12.0,,
101,√·√µ,2017-04-14,13.0,,
101,√·√µ,2017-04-15,16.4,,
101,√·√µ,2017-04-16,17.7,,
101,√·√µ,2017-04-17,14.1,,
101,√·√µ,2017-04-18,11.0,,
101,√·√µ,2017-04-19,13.2,,
101,√·√µ,2017-04-20,12.7,,
101,√·√µ,2017-04-21,12.9,,
101,√·√µ,2017-04-22,14.2,,
101,√·√µ,2017-04-23,14.2,,
101,√·√µ,2017-04-24,14.0,,
101,√·√µ,2017-04-25,17.1,,
101,√·√µ,2017-04-26,15.3,,
101,√·√µ,2017-04-27,12.7,,
101,√·√µ,2017-04-28,14.4,,
101,√·√µ,2017-04-29,15.8,,
101,√·√µ,2017-04-30,18.7,,
101,√·√µ,2017-05-01,20.0,,
101,√·√µ,2017-05-02,19.0,,
101,√·√µ,2017-05-03,20.4,,
101,√·√µ,2017-05-04,20.2,,
101,√·√µ,2017-05-05,22.0,,
101,√·√µ,2017-05-06,15.3,,
101,√·√µ,2017-05-07,17.2,,
101,√·√µ,2017-05-08,18.0,,
101,√·√µ,2017-05-09,16.6,,
101,√·√µ,2017-05-10,16.9,,
101,√·√µ,2017-05-11,18.6,,
101,√·√µ,2017-05-12,17.5,,
101,√·√µ,2017-05-13,16.7,,
101,√·√µ,2017-05-14,16.4,,
101,√·√µ,2017-05-15,15.6,,
101,√·√µ,2017-05-16,16.6,,
101,√·√µ,2017-05-17,18.1,,
101,√·√µ,2017-05-18,20.1,,
101,√·√µ,2017-05-19,20.9,,
101,√·√µ,2017-05-20,21.5,,
101,√·√µ,2017-05-21,21.6,,
101,√·√µ,2017-05-22,21.6,,
101,√·√µ,2017-05-23,18.9,,
101,√·√µ,2017-05-24,21.5,,
101,√·√µ,2017-05-25,18.8,,
