ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ ÇöÁö±â¾Ð(hPa)
105,°­¸ª,2017-01-01,1021.7
105,°­¸ª,2017-01-02,1016.1
105,°­¸ª,2017-01-03,1017.2
105,°­¸ª,2017-01-04,1019.7
105,°­¸ª,2017-01-05,1027
105,°­¸ª,2017-01-06,1024
105,°­¸ª,2017-01-07,1018.5
105,°­¸ª,2017-01-08,1011.7
105,°­¸ª,2017-01-09,1009.5
105,°­¸ª,2017-01-10,1015.8
105,°­¸ª,2017-01-11,1017.8
105,°­¸ª,2017-01-12,1009.9
105,°­¸ª,2017-01-13,1009.9
105,°­¸ª,2017-01-14,1017.8
105,°­¸ª,2017-01-15,1020.4
105,°­¸ª,2017-01-16,1025.2
105,°­¸ª,2017-01-17,1026.4
105,°­¸ª,2017-01-18,1024.6
105,°­¸ª,2017-01-19,1019
105,°­¸ª,2017-01-20,1015.2
105,°­¸ª,2017-01-21,1020.7
105,°­¸ª,2017-01-22,1019.1
105,°­¸ª,2017-01-23,1024.1
105,°­¸ª,2017-01-24,1027.8
105,°­¸ª,2017-01-25,1027.7
105,°­¸ª,2017-01-26,1018.9
105,°­¸ª,2017-01-27,1017.8
105,°­¸ª,2017-01-28,1022.3
105,°­¸ª,2017-01-29,1014.6
105,°­¸ª,2017-01-30,1017.8
105,°­¸ª,2017-01-31,1021.8
105,°­¸ª,2017-02-01,1020.9
105,°­¸ª,2017-02-02,1020.1
105,°­¸ª,2017-02-03,1019.7
105,°­¸ª,2017-02-04,1015.3
105,°­¸ª,2017-02-05,1007.3
105,°­¸ª,2017-02-06,1015.3
105,°­¸ª,2017-02-07,1020.8
105,°­¸ª,2017-02-08,1013.2
105,°­¸ª,2017-02-09,1007.6
105,°­¸ª,2017-02-10,1011
105,°­¸ª,2017-02-11,1017.5
105,°­¸ª,2017-02-12,1022.5
105,°­¸ª,2017-02-13,1025.1
105,°­¸ª,2017-02-14,1027.6
105,°­¸ª,2017-02-15,1022.6
105,°­¸ª,2017-02-16,1012.9
105,°­¸ª,2017-02-17,1013
105,°­¸ª,2017-02-18,1018
105,°­¸ª,2017-02-19,1010.7
105,°­¸ª,2017-02-20,1009.7
105,°­¸ª,2017-02-21,1025.7
105,°­¸ª,2017-02-22,1012.3
105,°­¸ª,2017-02-23,1011.2
105,°­¸ª,2017-02-24,1017.5
105,°­¸ª,2017-02-25,1016.1
105,°­¸ª,2017-02-26,1021.2
105,°­¸ª,2017-02-27,1023.1
105,°­¸ª,2017-02-28,1019.4
105,°­¸ª,2017-03-01,1012.5
105,°­¸ª,2017-03-02,1010
105,°­¸ª,2017-03-03,1013.9
105,°­¸ª,2017-03-04,1015
105,°­¸ª,2017-03-05,1011.1
