"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		100",대관령,2017-01-01,5.1,9.5,270,15:16,13.1,270,15:22
"		100",대관령,2017-01-02,6.7,13,270,13:49,18.4,270,13:59
"		100",대관령,2017-01-03,5.3,9.6,270,23:43,15,270,20:42
"		100",대관령,2017-01-04,3.1,9.8,270,0:17,14.8,270,0:37
"		100",대관령,2017-01-05,1.7,4.2,70,9:47,7,70,9:45
"		100",대관령,2017-01-06,1.3,3.6,250,15:10,5.9,250,15:18
"		100",대관령,2017-01-07,1.3,3.4,110,13:58,5.3,110,13:56
"		100",대관령,2017-01-08,1.2,3.4,110,16:32,4.9,270,23:59
"		100",대관령,2017-01-09,5.4,9.5,270,6:37,14.8,290,6:08
"		100",대관령,2017-01-10,7.6,12,270,14:23,17.3,270,13:56
"		100",대관령,2017-01-11,6.8,10.8,270,14:37,16.2,270,12:55
"		100",대관령,2017-01-12,10.5,14.8,270,14:28,22.6,270,14:01
"		100",대관령,2017-01-13,8.2,12.4,270,0:40,18.4,270,0:39
"		100",대관령,2017-01-14,5.6,8.4,270,12:43,12.1,270,12:41
"		100",대관령,2017-01-15,3.2,6.8,250,14:03,8.7,250,13:56
"		100",대관령,2017-01-16,1.4,4.5,20,13:25,7.1,340,13:17
"		100",대관령,2017-01-17,2,6.2,270,14:28,8.1,270,14:21
"		100",대관령,2017-01-18,4.2,8.6,270,2:46,12.5,270,2:43
"		100",대관령,2017-01-19,1.1,3.9,290,15:50,6.5,290,15:35
"		100",대관령,2017-01-20,3,6.5,270,10:06,10.8,270,11:39
"		100",대관령,2017-01-21,5.2,9.8,270,20:42,15.6,270,14:08
"		100",대관령,2017-01-22,6.5,9.7,270,1:02,15.7,270,3:58
"		100",대관령,2017-01-23,4.2,7.7,270,0:19,10.2,270,16:06
"		100",대관령,2017-01-24,3.1,5.5,290,4:54,7.6,320,4:54
"		100",대관령,2017-01-25,2.5,6.3,270,16:17,8.5,270,16:16
"		100",대관령,2017-01-26,5,11.1,270,15:05,16.8,290,21:21
"		100",대관령,2017-01-27,7,12.8,270,8:02,17.7,270,7:53
"		100",대관령,2017-01-28,1.2,3.5,340,0:27,5.5,340,0:19
"		100",대관령,2017-01-29,1,3.9,340,6:55,5.2,340,6:51
"		100",대관령,2017-01-30,4,9.3,270,5:26,13.5,270,5:57
"		100",대관령,2017-01-31,4,6.8,270,23:49,9.5,250,18:15
"		100",대관령,2017-02-01,4.8,8.1,270,11:18,11.3,270,6:24
"		100",대관령,2017-02-02,5.1,10.3,270,13:19,16.8,270,13:26
"		100",대관령,2017-02-03,4.3,8.1,270,0:22,12.1,270,0:16
"		100",대관령,2017-02-04,2,5,270,15:06,7.2,290,15:05
"		100",대관령,2017-02-05,4,8.2,270,23:30,12.4,290,21:58
"		100",대관령,2017-02-06,4.3,9.9,270,5:54,13.2,270,5:51
"		100",대관령,2017-02-07,1.1,3.1,90,17:13,5,140,17:26
"		100",대관령,2017-02-08,2.4,5.7,270,19:47,8.3,270,19:39
"		100",대관령,2017-02-09,5.1,8.5,270,22:40,13.1,270,15:19
"		100",대관령,2017-02-10,5.7,9,270,14:17,13.6,270,16:17
"		100",대관령,2017-02-11,4.2,7.8,270,17:13,11.5,250,15:58
"		100",대관령,2017-02-12,4.5,7.4,270,14:02,10.4,270,13:55
"		100",대관령,2017-02-13,4.1,8.3,270,13:29,13,270,13:21
"		100",대관령,2017-02-14,2.2,5.6,270,21:24,7.6,270,16:10
"		100",대관령,2017-02-15,4,8.9,270,15:52,12.6,270,15:48
"		100",대관령,2017-02-16,8.5,12.8,270,22:34,21.9,290,22:19
"		100",대관령,2017-02-17,6.5,12.5,270,0:09,19.7,270,0:07
"		100",대관령,2017-02-18,5,9.6,270,20:14,14.7,290,20:06
"		100",대관령,2017-02-19,6.6,11.5,270,18:01,17.4,250,20:07
"		100",대관령,2017-02-20,5.1,8.9,290,11:38,13.3,270,11:44
"		100",대관령,2017-02-21,1.6,4.1,110,15:33,6.2,110,15:28
"		100",대관령,2017-02-22,1.6,4,270,1:20,6.1,270,9:40
"		100",대관령,2017-02-23,4.7,8.3,270,12:08,11,270,11:59
"		100",대관령,2017-02-24,5,8.4,270,20:48,12.9,270,15:29
"		100",대관령,2017-02-25,6.1,8.6,270,21:57,14,250,22:30
"		100",대관령,2017-02-26,2.2,6.5,270,0:41,10,270,0:41
"		100",대관령,2017-02-27,1.3,4.6,250,15:46,7,270,13:52
"		100",대관령,2017-02-28,3.6,6.7,250,17:28,11,270,17:22
"		100",대관령,2017-03-01,2.1,4.3,90,14:48,7,70,15:40
"		100",대관령,2017-03-02,3,9.9,270,22:20,13.6,270,22:33
"		100",대관령,2017-03-03,4.4,8.1,270,0:11,11.9,290,0:12
"		100",대관령,2017-03-04,2.8,6.7,270,2:39,9.3,270,1:38
"		100",대관령,2017-03-05,3.4,6.8,270,14:46,10.5,270,14:40
"		100",대관령,2017-03-06,5.7,8.1,290,6:04,13.2,320,22:13
"		100",대관령,2017-03-07,6.1,8.8,270,8:29,14.2,270,8:27
"		100",대관령,2017-03-08,6.8,10.9,270,13:31,17.9,290,15:40
"		100",대관령,2017-03-09,7.6,12.8,270,11:49,19.4,270,11:49
"		100",대관령,2017-03-10,3.8,7.1,270,14:48,13.1,340,13:00
"		100",대관령,2017-03-11,2.7,5.3,290,19:26,8,250,14:05
"		100",대관령,2017-03-12,4.1,7.5,270,22:25,12.7,270,22:24
"		100",대관령,2017-03-13,2.5,6.7,270,0:58,9.4,270,0:58
"		100",대관령,2017-03-14,1.5,4.7,90,11:43,7.9,20,12:01
"		100",대관령,2017-03-15,1.7,4.9,110,15:08,7.1,110,15:07
"		100",대관령,2017-03-16,1.8,6.3,270,11:08,8.8,270,11:08
"		100",대관령,2017-03-17,1.5,4.8,90,13:27,7.7,90,15:14
"		100",대관령,2017-03-18,2.5,6.9,270,14:36,10.9,250,13:20
"		100",대관령,2017-03-19,1.5,4.2,140,16:49,7,110,14:40
"		100",대관령,2017-03-20,1.3,4.3,270,16:29,7.2,270,16:40
"		100",대관령,2017-03-21,2.1,4.8,70,11:58,7.9,50,9:24
"		100",대관령,2017-03-22,2.8,6.2,250,17:05,10.7,270,16:34
"		100",대관령,2017-03-23,1.8,5.4,70,12:39,8.1,70,12:39
"		100",대관령,2017-03-24,1.7,4.7,90,14:38,7,90,14:30
"		100",대관령,2017-03-25,1.2,3.5,290,14:55,5,290,14:54
"		100",대관령,2017-03-26,1.9,4.8,290,14:09,7,290,14:01
"		100",대관령,2017-03-27,3.7,6.7,320,13:02,10.3,270,11:28
"		100",대관령,2017-03-28,3,6.5,270,17:07,10.4,270,17:00
"		100",대관령,2017-03-29,3,6,270,16:38,9.2,250,15:21
"		100",대관령,2017-03-30,2.5,5.2,90,14:35,7.8,140,11:33
"		100",대관령,2017-03-31,2,4.5,110,19:27,7.6,140,19:29
"		100",대관령,2017-04-01,1,4.1,360,15:45,7,20,15:42
"		100",대관령,2017-04-02,2.9,7.1,250,16:27,11.4,270,16:48
"		100",대관령,2017-04-03,4.5,7.6,250,14:38,11.9,270,15:19
"		100",대관령,2017-04-04,3.6,7.3,250,12:51,11.1,320,14:52
"		100",대관령,2017-04-05,2.6,6.6,230,11:37,10.7,200,14:40
"		100",대관령,2017-04-06,5.7,10.1,270,14:27,16,290,15:39
"		100",대관령,2017-04-07,2.2,5,110,10:09,8,110,10:20
"		100",대관령,2017-04-08,2.8,6.3,250,11:14,9.6,270,10:54
"		100",대관령,2017-04-09,2.6,5.8,70,6:46,9,70,7:31
"		100",대관령,2017-04-10,2.8,5.7,70,16:02,8.8,180,8:12
"		100",대관령,2017-04-11,3.1,7.2,270,17:32,11.4,270,17:26
"		100",대관령,2017-04-12,5.6,9.6,270,15:27,15.3,270,15:40
"		100",대관령,2017-04-13,6.9,12.7,270,20:26,18.5,270,20:15
"		100",대관령,2017-04-14,7.3,12.9,270,14:50,20.8,250,13:05
"		100",대관령,2017-04-15,6.6,11.2,270,23:54,16.4,270,0:38
"		100",대관령,2017-04-16,4.7,10.7,270,0:01,13,270,0:03
"		100",대관령,2017-04-17,2.5,6.1,50,13:32,10.2,20,13:47
"		100",대관령,2017-04-18,5.2,11.4,270,21:38,18.5,290,21:35
"		100",대관령,2017-04-19,6.4,10.9,270,4:17,16.3,270,4:17
"		100",대관령,2017-04-20,4.1,10,270,12:37,15.6,270,12:31
"		100",대관령,2017-04-21,2.4,6,110,11:37,9,140,11:33
"		100",대관령,2017-04-22,1.8,5.2,110,13:49,8.5,110,13:46
"		100",대관령,2017-04-23,4.3,7.8,270,15:56,13.9,290,16:38
"		100",대관령,2017-04-24,5.6,9.5,250,15:26,14.8,250,15:35
"		100",대관령,2017-04-25,7.6,9.6,270,16:04,16.7,270,15:28
"		100",대관령,2017-04-26,2.8,5.8,290,1:30,10.9,290,0:53
"		100",대관령,2017-04-27,4,8.4,270,13:45,13.5,270,13:41
"		100",대관령,2017-04-28,6.2,11.6,270,14:17,19.2,270,11:39
"		100",대관령,2017-04-29,6,12.9,270,17:08,21,270,17:02
"		100",대관령,2017-04-30,6.1,10,250,13:56,16.7,250,12:09
"		100",대관령,2017-05-01,2.7,5.4,70,13:11,7.7,110,9:08
"		100",대관령,2017-05-02,1.7,4.8,90,14:49,7.3,110,14:02
"		100",대관령,2017-05-03,1.7,5.3,70,14:51,9.2,140,12:52
"		100",대관령,2017-05-04,1.7,5.4,70,13:48,8.1,70,13:31
"		100",대관령,2017-05-05,5.6,11.8,270,23:32,18.3,270,23:39
"		100",대관령,2017-05-06,9.1,13.8,250,16:12,22.2,250,16:37
"		100",대관령,2017-05-07,9.1,12.1,270,23:15,18.7,270,18:04
"		100",대관령,2017-05-08,5.8,10.6,270,10:50,15.5,270,10:48
"		100",대관령,2017-05-09,2.1,5.4,110,14:55,9,110,14:53
"		100",대관령,2017-05-10,3.2,6.5,270,16:01,9.7,270,12:55
"		100",대관령,2017-05-11,5.3,9,270,17:25,13,270,17:18
"		100",대관령,2017-05-12,3.7,8.8,270,14:55,13.2,270,14:59
"		100",대관령,2017-05-13,5.2,12.5,270,22:16,19,270,22:20
"		100",대관령,2017-05-14,9.4,13,270,13:27,20.4,270,15:50
"		100",대관령,2017-05-15,4.9,9.9,270,2:53,13.7,270,2:46
"		100",대관령,2017-05-16,1.5,4.2,110,11:47,6.7,110,12:00
"		100",대관령,2017-05-17,1.7,4.9,90,11:08,8.1,110,12:36
"		100",대관령,2017-05-18,3.9,7.6,250,15:56,11.3,250,15:42
"		100",대관령,2017-05-19,5.6,8.8,250,14:13,13.5,250,11:11
"		100",대관령,2017-05-20,2.4,4.8,270,0:20,7.3,250,0:11
"		100",대관령,2017-05-21,3.2,6.7,290,14:03,10.5,290,15:13
"		100",대관령,2017-05-22,2.6,6,70,13:37,8.5,70,13:34
"		100",대관령,2017-05-23,3,6.9,250,13:50,10.4,250,11:22
"		100",대관령,2017-05-24,2,4.6,110,11:51,6.3,110,13:51
"		100",대관령,2017-05-25,4.4,11.3,270,15:28,17.9,250,10:45
"		100",대관령,2017-05-26,2.1,4.5,90,12:29,6.6,340,10:16
"		100",대관령,2017-05-27,1.8,4.4,90,14:37,7.6,90,15:05
"		100",대관령,2017-05-28,5.2,10.5,270,17:54,16.9,270,18:00
"		100",대관령,2017-05-29,3.9,7.3,270,16:56,11.1,270,16:49
"		100",대관령,2017-05-30,5.1,8.9,270,13:03,14.2,270,13:19
"		100",대관령,2017-05-31,2,4.3,110,13:42,6.2,140,13:38
"		100",대관령,2017-06-01,2.6,4.9,50,20:14,9.7,50,20:01
"		100",대관령,2017-06-02,2.4,4.9,110,11:34,7.4,140,11:31
"		100",대관령,2017-06-03,2.8,5.6,270,3:54,9.6,270,3:42
"		100",대관령,2017-06-04,2.1,7.4,50,21:11,13.4,50,21:10
"		100",대관령,2017-06-05,2,4.9,70,14:59,8.1,50,12:50
"		100",대관령,2017-06-06,1.6,4.5,270,23:35,10.5,290,23:29
"		100",대관령,2017-06-07,3.1,5.8,270,23:18,8.9,250,21:55
"		100",대관령,2017-06-08,4.9,7.3,270,17:29,11.9,270,15:19
"		100",대관령,2017-06-09,7.1,11.9,270,12:24,17.8,290,16:02
"		100",대관령,2017-06-10,3.3,8.9,270,0:39,12.8,250,0:42
