"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각"
"		106",동해,2017-01-01,1.6,4.5,290,14:23,7.3,290,14:22
"		106",동해,2017-01-02,2.8,5.2,250,4:15,9.8,250,6:02
"		106",동해,2017-01-03,2.6,5,270,3:42,8.8,270,4:02
"		106",동해,2017-01-04,3.3,6.5,270,4:29,9.9,290,4:19
"		106",동해,2017-01-05,1.4,2.8,290,16:09,4.3,290,16:00
"		106",동해,2017-01-06,1.6,3.8,140,15:54,6.1,140,14:31
"		106",동해,2017-01-07,1.6,2.5,140,16:40,4.6,110,16:36
"		106",동해,2017-01-08,1.9,4.7,360,15:08,6.9,340,13:59
"		106",동해,2017-01-09,2.8,5.4,290,7:14,11.3,290,13:55
"		106",동해,2017-01-10,3.3,7.7,320,13:59,12.7,320,14:40
"		106",동해,2017-01-11,3.7,6.4,290,1:59,11.3,290,9:59
"		106",동해,2017-01-12,3.3,8.3,290,14:53,16.7,320,14:44
"		106",동해,2017-01-13,3.9,6.9,250,14:29,13.8,320,15:02
"		106",동해,2017-01-14,4.2,6.2,290,9:42,11.3,340,16:21
"		106",동해,2017-01-15,2.8,5.3,360,14:31,7.9,250,5:08
"		106",동해,2017-01-16,3.2,5.8,360,14:51,9.4,340,14:46
"		106",동해,2017-01-17,1.8,3.2,230,20:24,5,230,20:21
"		106",동해,2017-01-18,2,6.4,320,5:00,10.1,290,4:51
"		106",동해,2017-01-19,1.6,3.3,20,13:12,5.4,140,16:24
"		106",동해,2017-01-20,2.8,8.6,290,12:27,13.9,320,12:12
"		106",동해,2017-01-21,2.3,5.2,320,15:27,10,340,15:22
"		106",동해,2017-01-22,3.5,5.9,290,14:15,11,250,11:43
"		106",동해,2017-01-23,3.4,7.1,290,3:26,11.1,290,1:28
"		106",동해,2017-01-24,2.9,4.9,270,1:45,8.8,290,4:43
"		106",동해,2017-01-25,2,4.4,360,13:35,5.7,20,13:40
"		106",동해,2017-01-26,2.3,6.9,230,20:53,12.7,200,20:40
"		106",동해,2017-01-27,3.8,11.1,230,3:17,23.3,250,3:37
"		106",동해,2017-01-28,1.6,2.9,230,7:09,4.8,110,12:26
"		106",동해,2017-01-29,1.4,3.8,340,15:24,5.5,340,15:17
"		106",동해,2017-01-30,2.9,7.2,340,12:32,12.1,360,12:39
"		106",동해,2017-01-31,1.7,3.8,230,1:13,7.3,200,20:15
"		106",동해,2017-02-01,4.3,10.6,290,5:38,15.1,290,5:32
"		106",동해,2017-02-02,3.8,7.3,290,16:04,15.4,290,15:08
"		106",동해,2017-02-03,2.1,6.6,270,1:19,11.9,250,0:21
"		106",동해,2017-02-04,1.9,3.6,140,15:01,5.9,250,23:44
"		106",동해,2017-02-05,2.6,5.9,320,17:14,9.7,250,23:30
"		106",동해,2017-02-06,4.3,8.2,360,12:59,12.3,20,13:17
"		106",동해,2017-02-07,1.9,3.8,290,4:07,5.9,290,4:15
"		106",동해,2017-02-08,1.9,4.9,270,20:48,8.3,270,20:24
"		106",동해,2017-02-09,3.8,6.2,290,16:13,10.6,270,19:42
"		106",동해,2017-02-10,4,6.5,270,4:41,12.1,290,4:38
"		106",동해,2017-02-11,3.3,5.6,270,8:04,9.5,290,11:21
