"		¡ˆ¡°π¯»£",¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’«≥º”(m/s),√÷¥Î«≥º”(m/s),√÷¥Î«≥º”«≥«‚(deg),"	√÷¥Î«≥º”Ω√∞¢",√÷¥Îº¯∞£«≥º”(m/s),√÷¥Îº¯∞£«≥º”«≥«‚(deg),"	√÷¥Îº¯∞£«≥º”Ω√∞¢"
"		93",∫œ√·√µ,2017-01-01,0.4,1.5,340,22:11,2.2,230,13:54
"		93",∫œ√·√µ,2017-01-02,0.6,2.8,250,16:50,4.6,250,16:47
"		93",∫œ√·√µ,2017-01-03,1,5,230,16:11,6.9,230,16:05
"		93",∫œ√·√µ,2017-01-04,0.6,2,20,0:04,3.1,50,0:03
"		93",∫œ√·√µ,2017-01-05,1.4,4.4,50,12:22,8,70,12:15
"		93",∫œ√·√µ,2017-01-06,0.7,2.6,70,0:08,5.6,110,0:32
"		93",∫œ√·√µ,2017-01-07,0.6,1.8,110,11:18,3.3,110,20:25
"		93",∫œ√·√µ,2017-01-08,0.7,2.3,180,15:26,3.4,320,12:26
"		93",∫œ√·√µ,2017-01-09,2.2,6.2,230,12:24,8.8,270,2:25
"		93",∫œ√·√µ,2017-01-10,2.1,7.3,270,14:08,11.5,290,13:18
"		93",∫œ√·√µ,2017-01-11,1.5,5.7,270,15:51,9.1,230,14:59
"		93",∫œ√·√µ,2017-01-12,2.8,7.7,270,12:52,13.7,270,12:51
"		93",∫œ√·√µ,2017-01-13,1.9,5.9,340,13:29,11.1,340,13:25
"		93",∫œ√·√µ,2017-01-14,2,5.9,290,15:15,10.2,270,14:34
"		93",∫œ√·√µ,2017-01-15,0.7,2.3,180,13:34,3.5,200,13:31
"		93",∫œ√·√µ,2017-01-16,0.8,2.5,200,14:50,3.7,230,14:22
"		93",∫œ√·√µ,2017-01-17,0.7,2.8,200,14:58,4.8,160,14:52
"		93",∫œ√·√µ,2017-01-18,0.9,4.3,230,16:48,5.8,230,16:48
"		93",∫œ√·√µ,2017-01-19,0.5,1.6,90,21:38,2.6,180,14:41
"		93",∫œ√·√µ,2017-01-20,1.3,4.1,360,12:56,7.2,20,12:54
"		93",∫œ√·√µ,2017-01-21,1.1,4.2,230,16:05,5.6,230,16:22
"		93",∫œ√·√µ,2017-01-22,1.9,5.9,270,4:45,9.4,270,2:54
"		93",∫œ√·√µ,2017-01-23,1,2.8,230,17:25,6.1,70,19:34
"		93",∫œ√·√µ,2017-01-24,0.8,2.2,180,12:38,3.9,180,13:31
"		93",∫œ√·√µ,2017-01-25,0.7,2.3,200,14:27,6,230,14:22
"		93",∫œ√·√µ,2017-01-26,1,4.3,230,18:33,5.9,230,18:25
"		93",∫œ√·√µ,2017-01-27,1.9,4.3,230,14:28,6.9,230,14:14
"		93",∫œ√·√µ,2017-01-28,0.6,1.8,180,14:13,4,70,5:31
"		93",∫œ√·√µ,2017-01-29,0.3,1.2,360,2:56,2.2,20,7:31
"		93",∫œ√·√µ,2017-01-30,1.5,4.1,200,12:25,5.6,230,12:46
"		93",∫œ√·√µ,2017-01-31,0.6,1.6,70,1:29,3.3,20,21:20
"		93",∫œ√·√µ,2017-02-01,1.2,4.8,230,14:05,6.4,230,14:02
"		93",∫œ√·√µ,2017-02-02,1,3.6,230,17:51,6.4,250,17:37
"		93",∫œ√·√µ,2017-02-03,0.6,2,230,17:33,3.3,230,12:27
"		93",∫œ√·√µ,2017-02-04,0.4,1.4,160,12:04,2.3,140,12:04
"		93",∫œ√·√µ,2017-02-05,0.8,3.4,290,20:59,6.4,320,20:17
"		93",∫œ√·√µ,2017-02-06,1.6,4.1,230,15:29,6.8,50,10:17
"		93",∫œ√·√µ,2017-02-07,0.7,2.7,250,10:49,3.9,250,10:44
"		93",∫œ√·√µ,2017-02-08,0.9,3.3,230,16:20,4.5,70,21:38
"		93",∫œ√·√µ,2017-02-09,1.8,5.9,250,15:02,10.1,230,14:35
"		93",∫œ√·√µ,2017-02-10,1.8,5.4,250,16:03,8.3,290,19:07
"		93",∫œ√·√µ,2017-02-11,1.2,5.1,230,16:15,7.2,230,16:27
"		93",∫œ√·√µ,2017-02-12,0.8,4.3,270,16:34,6.9,50,23:17
"		93",∫œ√·√µ,2017-02-13,1,5.8,270,16:18,8.5,270,16:09
"		93",∫œ√·√µ,2017-02-14,1.1,4.6,230,16:25,6.5,200,16:21
"		93",∫œ√·√µ,2017-02-15,1,4.4,230,16:06,6.2,230,16:43
"		93",∫œ√·√µ,2017-02-16,1.2,5.5,250,14:46,9,250,14:41
"		93",∫œ√·√µ,2017-02-17,2.2,5.5,230,11:35,8.4,360,13:19
"		93",∫œ√·√µ,2017-02-18,1.9,5.9,360,14:36,9.4,20,14:33
"		93",∫œ√·√µ,2017-02-19,1,4.2,230,12:41,5.6,200,12:23
"		93",∫œ√·√µ,2017-02-20,2,6.3,360,13:29,10.9,340,13:26
"		93",∫œ√·√µ,2017-02-21,0.9,2.6,250,13:32,4.6,230,14:29
"		93",∫œ√·√µ,2017-02-22,0.6,2.6,140,8:28,4.6,140,0:14
"		93",∫œ√·√µ,2017-02-23,1.7,4.1,270,16:18,7.3,290,15:41
"		93",∫œ√·√µ,2017-02-24,1.8,6.5,270,15:22,10.2,250,14:58
"		93",∫œ√·√µ,2017-02-25,1.8,6.1,230,13:47,10.6,200,13:38
"		93",∫œ√·√µ,2017-02-26,1.2,5.6,230,14:36,7.4,230,14:30
"		93",∫œ√·√µ,2017-02-27,0.9,3,230,14:11,5.8,160,14:58
"		93",∫œ√·√µ,2017-02-28,1.1,4.6,230,16:46,6.4,200,16:13
"		93",∫œ√·√µ,2017-03-01,0.6,4.2,290,18:23,6.3,270,18:21
"		93",∫œ√·√µ,2017-03-02,1.4,5,230,14:45,7.1,200,15:29
"		93",∫œ√·√µ,2017-03-03,1.6,5.1,230,15:05,8.1,250,14:58
"		93",∫œ√·√µ,2017-03-04,0.8,3.1,230,15:12,5.3,230,15:05
"		93",∫œ√·√µ,2017-03-05,1.4,5.5,230,16:00,8.1,230,16:53
"		93",∫œ√·√µ,2017-03-06,2.8,7,360,15:29,11.4,360,15:27
"		93",∫œ√·√µ,2017-03-07,2.4,5.4,270,13:54,9.2,360,5:23
"		93",∫œ√·√µ,2017-03-08,2,6.1,250,15:20,12,230,12:39
"		93",∫œ√·√µ,2017-03-09,2.6,6.4,270,19:16,11.2,250,15:22
"		93",∫œ√·√µ,2017-03-10,1.4,5.9,340,14:37,10.4,340,14:37
"		93",∫œ√·√µ,2017-03-11,0.9,3.8,230,17:44,6.2,160,16:57
"		93",∫œ√·√µ,2017-03-12,1.2,4.2,250,22:01,6.7,270,18:17
"		93",∫œ√·√µ,2017-03-13,1.7,4.7,360,18:25,7.5,360,19:18
"		93",∫œ√·√µ,2017-03-14,1.6,6.3,110,17:26,9.9,290,12:32
"		93",∫œ√·√µ,2017-03-15,1,3.5,230,13:28,5.9,230,14:51
"		93",∫œ√·√µ,2017-03-16,1,4.5,230,17:28,7.2,230,17:27
"		93",∫œ√·√µ,2017-03-17,1.1,4.1,200,14:53,6.5,230,15:06
"		93",∫œ√·√µ,2017-03-18,1.4,5,270,16:25,8.6,290,14:11
"		93",∫œ√·√µ,2017-03-19,1,3.3,200,17:13,6.4,50,7:04
"		93",∫œ√·√µ,2017-03-20,0.6,1.6,200,12:06,3.6,340,23:32
"		93",∫œ√·√µ,2017-03-21,1,5,90,10:39,7.9,50,10:35
"		93",∫œ√·√µ,2017-03-22,1.3,4.3,290,16:29,7.1,290,16:25
"		93",∫œ√·√µ,2017-03-23,1.5,5.9,70,18:23,8.7,70,18:44
"		93",∫œ√·√µ,2017-03-24,1,2.5,140,14:26,4.6,50,14:17
"		93",∫œ√·√µ,2017-03-25,0.6,2.3,200,15:38,3.9,200,15:33
"		93",∫œ√·√µ,2017-03-26,0.9,5.2,270,14:22,7.3,290,14:22
"		93",∫œ√·√µ,2017-03-27,0.9,6,270,14:28,9.1,290,14:19
"		93",∫œ√·√µ,2017-03-28,0.8,2.3,270,15:08,4.4,200,14:25
"		93",∫œ√·√µ,2017-03-29,1.2,5.1,230,16:44,6.8,250,16:35
"		93",∫œ√·√µ,2017-03-30,1,3.3,230,16:51,6,250,16:49
"		93",∫œ√·√µ,2017-03-31,0.9,3.1,70,10:27,6.2,160,2:35
"		93",∫œ√·√µ,2017-04-01,1.1,6,70,16:16,10.5,90,16:14
"		93",∫œ√·√µ,2017-04-02,1.4,4.4,250,17:37,7.1,250,18:33
"		93",∫œ√·√µ,2017-04-03,1.3,5.7,250,15:23,8.8,230,15:14
"		93",∫œ√·√µ,2017-04-04,1.5,6,230,14:54,8.4,230,14:30
"		93",∫œ√·√µ,2017-04-05,0.9,2.8,50,7:29,4.2,50,11:35
"		93",∫œ√·√µ,2017-04-06,1.9,6.2,230,14:20,9.3,230,14:11
"		93",∫œ√·√µ,2017-04-07,0.9,3.2,200,13:38,4.7,180,13:30
"		93",∫œ√·√µ,2017-04-08,1.2,4.3,230,17:32,5.8,230,17:31
"		93",∫œ√·√µ,2017-04-09,2.7,6.8,140,13:10,11.1,110,13:22
"		93",∫œ√·√µ,2017-04-10,1.4,4.2,70,20:34,5.9,70,20:31
"		93",∫œ√·√µ,2017-04-11,2.1,6.1,270,16:48,9.8,360,22:30
"		93",∫œ√·√µ,2017-04-12,3.2,7.7,250,15:33,11.6,230,15:25
"		93",∫œ√·√µ,2017-04-13,2.2,8,230,14:02,11.1,230,13:56
"		93",∫œ√·√µ,2017-04-14,2.1,8.7,230,12:18,14,270,13:23
"		93",∫œ√·√µ,2017-04-15,1.4,5.5,230,16:29,8.5,230,16:21
"		93",∫œ√·√µ,2017-04-16,1.6,5.6,230,14:33,7.5,180,13:31
"		93",∫œ√·√µ,2017-04-17,2.1,5.5,360,19:46,8.3,230,9:31
"		93",∫œ√·√µ,2017-04-18,1.1,5.5,360,20:05,10.6,360,19:57
"		93",∫œ√·√µ,2017-04-19,2.6,6,230,17:07,8.6,230,15:20
"		93",∫œ√·√µ,2017-04-20,1.5,4.9,230,17:21,7,230,17:13
"		93",∫œ√·√µ,2017-04-21,1.6,5.2,140,19:23,8.6,70,22:26
"		93",∫œ√·√µ,2017-04-22,1.4,4.1,250,15:51,7.5,270,15:48
"		93",∫œ√·√µ,2017-04-23,2.3,6.9,250,16:22,10.2,270,16:02
"		93",∫œ√·√µ,2017-04-24,2,6.3,250,17:31,9.6,270,17:28
"		93",∫œ√·√µ,2017-04-25,2.6,6.9,230,12:25,10.5,200,16:11
"		93",∫œ√·√µ,2017-04-26,2.3,5.6,290,16:49,9.9,340,15:55
"		93",∫œ√·√µ,2017-04-27,2.4,7.7,250,16:31,11.7,270,16:24
"		93",∫œ√·√µ,2017-04-28,2.9,8.3,230,14:28,12.5,230,15:14
"		93",∫œ√·√µ,2017-04-29,2.4,7.5,230,14:33,11,230,14:50
"		93",∫œ√·√µ,2017-04-30,2.1,6,250,16:08,8.7,230,15:50
"		93",∫œ√·√µ,2017-05-01,1.6,3.6,180,13:02,6.6,70,4:36
"		93",∫œ√·√µ,2017-05-02,1.2,3.7,250,17:40,5.9,230,15:11
"		93",∫œ√·√µ,2017-05-03,1.3,4,230,15:41,8.3,290,13:33
"		93",∫œ√·√µ,2017-05-04,1.1,3.5,250,15:12,6.7,290,15:55
"		93",∫œ√·√µ,2017-05-05,2.7,6.1,230,15:09,9.5,250,15:01
"		93",∫œ√·√µ,2017-05-06,3.9,9.4,250,14:21,15.9,250,14:07
