"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		114",盔林,2017-01-01,0.2,1.9,20,14:21,2.7,20,14:15
"		114",盔林,2017-01-02,0.5,2,230,18:42,6.1,230,18:34
"		114",盔林,2017-01-03,0.6,2.1,230,16:17,4.7,290,14:38
"		114",盔林,2017-01-04,0.3,1.7,250,15:44,3.6,230,15:43
"		114",盔林,2017-01-05,0.5,2.3,70,15:00,4,90,15:00
"		114",盔林,2017-01-06,0.6,1.8,360,1:07,3.1,20,0:58
"		114",盔林,2017-01-07,0.3,1.3,50,15:30,2.5,20,15:36
"		114",盔林,2017-01-08,0.7,2.8,230,23:21,5,230,23:13
"		114",盔林,2017-01-09,2,4.2,230,12:35,7.2,290,3:48
"		114",盔林,2017-01-10,1.7,4.2,250,13:12,7.7,230,14:49
"		114",盔林,2017-01-11,1.2,3.3,250,13:59,6.5,250,15:56
"		114",盔林,2017-01-12,1.6,5,250,15:31,9.7,250,15:22
"		114",盔林,2017-01-13,1.6,3.4,250,15:29,6.1,270,16:55
"		114",盔林,2017-01-14,1.9,4.3,250,13:44,8.5,290,15:43
"		114",盔林,2017-01-15,0.6,2.3,270,14:49,4.1,250,14:27
"		114",盔林,2017-01-16,0.6,1.6,200,15:00,3.2,250,14:55
"		114",盔林,2017-01-17,0.4,2.1,290,16:05,4,290,15:51
"		114",盔林,2017-01-18,0.5,2.1,250,15:06,4,250,15:03
"		114",盔林,2017-01-19,0.5,2.2,230,21:52,3.2,230,21:52
"		114",盔林,2017-01-20,1.1,3,250,13:56,5.7,270,13:52
"		114",盔林,2017-01-21,0.7,2.1,230,17:57,3.6,230,22:16
"		114",盔林,2017-01-22,2.1,4.5,290,1:35,10.1,320,1:30
"		114",盔林,2017-01-23,0.9,2.8,290,14:01,5.3,320,13:57
"		114",盔林,2017-01-24,0.5,1.8,250,14:13,4,200,14:19
"		114",盔林,2017-01-25,0.4,1.4,320,13:14,3.3,320,13:11
