"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		211",牢力,2017-01-01,1.3,4,160,14:12,6.2,180,14:53
"		211",牢力,2017-01-02,1.9,4.9,180,13:52,8,160,12:57
"		211",牢力,2017-01-03,2.2,4.9,160,16:09,8.1,160,23:02
"		211",牢力,2017-01-04,1.5,3.8,180,1:32,5.8,160,0:11
"		211",牢力,2017-01-05,2.2,5.1,20,14:58,7.8,360,12:56
"		211",牢力,2017-01-06,0.9,3.3,160,13:36,6.3,140,13:22
"		211",牢力,2017-01-07,1,2.9,360,21:15,5,20,18:11
"		211",牢力,2017-01-08,2.1,4.5,20,12:42,7,20,10:17
"		211",牢力,2017-01-09,1.5,4.8,180,13:08,8,160,13:10
"		211",牢力,2017-01-10,2.9,5.5,180,13:30,9.9,180,14:00
"		211",牢力,2017-01-11,2.7,5.4,180,13:09,8.6,160,13:43
"		211",牢力,2017-01-12,3.5,5.7,160,15:09,11.7,140,12:49
"		211",牢力,2017-01-13,2.9,4.8,200,13:32,9.7,180,15:06
"		211",牢力,2017-01-14,1.3,4.5,160,15:23,8.1,160,15:16
"		211",牢力,2017-01-15,1.4,4.1,180,15:11,6.5,200,16:17
"		211",牢力,2017-01-16,0.7,2.1,160,12:54,3.5,140,12:53
"		211",牢力,2017-01-17,0.9,3.7,160,15:00,5.6,180,14:58
"		211",牢力,2017-01-18,1.1,3.9,180,15:06,6.2,180,15:01
"		211",牢力,2017-01-19,0.7,3,160,13:57,4.8,160,13:14
"		211",牢力,2017-01-20,1.4,3.2,200,21:42,5.7,200,14:10
"		211",牢力,2017-01-21,2.2,4.7,180,15:37,7.4,140,13:18
"		211",牢力,2017-01-22,2.4,5.1,160,13:56,8.5,200,14:49
"		211",牢力,2017-01-23,1.4,4.2,180,15:16,6.6,160,16:42
"		211",牢力,2017-01-24,1.1,3.7,160,14:55,5.6,180,12:10
"		211",牢力,2017-01-25,1.1,4,160,14:27,6.3,180,13:38
"		211",牢力,2017-01-26,2.3,5.9,180,19:41,9.9,180,19:23
"		211",牢力,2017-01-27,3,6.4,180,2:07,10.1,160,1:38
"		211",牢力,2017-01-28,0.6,3,160,12:20,4.8,160,13:02
"		211",牢力,2017-01-29,0.4,2.4,180,23:58,3.6,200,23:47
"		211",牢力,2017-01-30,1.9,5.1,180,5:00,7.5,180,4:59
"		211",牢力,2017-01-31,1.7,3.9,160,15:21,6,180,17:36
"		211",牢力,2017-02-01,1.5,4.6,180,13:49,7.8,160,13:42
"		211",牢力,2017-02-02,1.6,4.7,180,14:07,8.4,180,14:04
"		211",牢力,2017-02-03,1,4,160,11:45,7.1,140,14:44
"		211",牢力,2017-02-04,0.8,2.8,160,14:05,4.2,160,11:26
"		211",牢力,2017-02-05,1.3,3.6,180,16:34,6.1,230,21:36
"		211",牢力,2017-02-06,2.1,4.5,180,3:01,7.7,160,4:11
"		211",牢力,2017-02-07,0.9,2.9,180,13:05,4.6,160,15:06
"		211",牢力,2017-02-08,1.5,4,180,15:40,5.9,180,17:35
"		211",牢力,2017-02-09,2.1,5.1,180,15:53,9.5,180,14:37
"		211",牢力,2017-02-10,2.5,5.1,160,14:53,9.2,160,15:21
"		211",牢力,2017-02-11,1.5,4.9,180,13:33,8.1,180,14:48
"		211",牢力,2017-02-12,1.4,5,180,14:39,7.5,180,14:32
"		211",牢力,2017-02-13,1.2,5.2,180,15:24,9.2,160,15:24
"		211",牢力,2017-02-14,1.1,3.9,160,14:03,7.2,160,13:44
"		211",牢力,2017-02-15,1.5,4,160,13:47,6.7,180,17:48
"		211",牢力,2017-02-16,2.9,6,160,19:38,11.4,160,18:51
"		211",牢力,2017-02-17,2.3,4.8,160,13:16,7.9,180,13:25
"		211",牢力,2017-02-18,2.1,4.8,180,14:48,8.5,200,15:19
"		211",牢力,2017-02-19,2,6.3,180,15:44,11.6,200,15:42
"		211",牢力,2017-02-20,1.7,4.9,340,12:43,8.7,360,12:42
"		211",牢力,2017-02-21,1.1,2.8,140,10:34,5.1,160,13:46
"		211",牢力,2017-02-22,0.6,2.3,200,23:50,3.9,230,23:44
"		211",牢力,2017-02-23,1.8,3.9,160,11:46,6.9,180,11:30
"		211",牢力,2017-02-24,2,5.1,180,13:44,10.8,200,13:36
"		211",牢力,2017-02-25,2.3,5.8,160,14:51,10.1,160,13:45
"		211",牢力,2017-02-26,1.1,3.9,180,15:44,5.5,230,15:21
"		211",牢力,2017-02-27,1.1,3.2,180,13:29,5.6,160,15:12
"		211",牢力,2017-02-28,1.2,4.4,160,15:16,6.8,160,15:07
"		211",牢力,2017-03-01,0.7,3.2,50,17:52,5.5,250,15:11
"		211",牢力,2017-03-02,1,4,160,17:36,6.7,180,16:56
"		211",牢力,2017-03-03,1.7,4.7,160,14:23,7.6,160,14:15
"		211",牢力,2017-03-04,1.3,4,50,18:14,6.1,20,17:15
