"		¡ˆ¡°π¯»£",¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’«≥º”(m/s),√÷¥Î«≥º”(m/s),√÷¥Î«≥º”«≥«‚(deg),"	√÷¥Î«≥º”Ω√∞¢",√÷¥Îº¯∞£«≥º”(m/s),√÷¥Îº¯∞£«≥º”«≥«‚(deg),"	√÷¥Îº¯∞£«≥º”Ω√∞¢"
"		101",√·√µ,2017-01-01,0.5,1.3,340,23:51,2.1,360,24:00:00
"		101",√·√µ,2017-01-02,1,3.5,230,18:00,6.4,230,18:38
"		101",√·√µ,2017-01-03,1.2,4.2,230,16:24,7.8,230,16:22
"		101",√·√µ,2017-01-04,0.7,2,360,1:00,3.7,140,0:17
"		101",√·√µ,2017-01-05,1.8,3.4,50,16:31,6.9,20,17:21
"		101",√·√µ,2017-01-06,0.9,2.5,340,0:38,4.3,20,0:29
"		101",√·√µ,2017-01-07,0.8,2,140,12:20,3.5,160,12:06
"		101",√·√µ,2017-01-08,1,2.4,340,12:26,4.5,340,6:30
"		101",√·√µ,2017-01-09,2.3,5.1,230,12:39,9.4,230,12:39
"		101",√·√µ,2017-01-10,2,5,250,12:39,9.9,250,12:38
"		101",√·√µ,2017-01-11,1.9,4.4,270,15:15,9.5,230,15:06
"		101",√·√µ,2017-01-12,2.4,5.7,250,14:14,10.8,250,14:08
"		101",√·√µ,2017-01-13,2.2,6.9,270,13:11,12.5,270,13:02
"		101",√·√µ,2017-01-14,1.9,5.1,320,14:10,9.5,340,11:36
"		101",√·√µ,2017-01-15,0.8,1.9,70,12:54,3.3,230,11:25
"		101",√·√µ,2017-01-16,0.7,1.5,20,2:54,2.5,200,14:55
"		101",√·√µ,2017-01-17,0.7,2.6,200,16:25,4.7,160,15:36
"		101",√·√µ,2017-01-18,0.8,3.2,230,16:25,5.6,180,15:36
"		101",√·√µ,2017-01-19,0.7,1.9,250,12:04,3.8,270,11:57
"		101",√·√µ,2017-01-20,1.4,3.7,230,16:44,6.7,200,16:28
"		101",√·√µ,2017-01-21,1.2,2.9,160,20:04,5.2,250,15:51
"		101",√·√µ,2017-01-22,2.5,5,250,14:31,9.3,270,5:03
"		101",√·√µ,2017-01-23,1.2,3,230,16:45,5.7,230,16:51
"		101",√·√µ,2017-01-24,1.1,2.7,180,17:30,5.2,180,17:28
"		101",√·√µ,2017-01-25,1,2.7,160,17:13,4.4,140,16:59
"		101",√·√µ,2017-01-26,1.4,3.6,180,23:14,6.9,160,19:17
"		101",√·√µ,2017-01-27,2.4,4.2,250,6:36,8.3,160,1:18
"		101",√·√µ,2017-01-28,0.7,2.2,340,2:28,3.8,290,9:14
"		101",√·√µ,2017-01-29,0.6,3.5,340,10:57,5.1,340,10:16
"		101",√·√µ,2017-01-30,1.9,3.6,230,6:09,6.5,250,6:02
"		101",√·√µ,2017-01-31,0.9,1.7,360,9:15,3.2,160,15:19
"		101",√·√µ,2017-02-01,1.3,3.8,250,16:36,6.8,230,14:26
"		101",√·√µ,2017-02-02,1.2,3.5,230,17:35,6.8,180,16:28
"		101",√·√µ,2017-02-03,1,3.1,230,16:35,5.5,200,16:14
"		101",√·√µ,2017-02-04,0.6,2.2,290,11:38,3.3,290,11:34
"		101",√·√µ,2017-02-05,0.9,4.9,250,22:02,8.2,250,22:02
"		101",√·√µ,2017-02-06,1.3,3.6,230,1:45,6.3,200,1:48
"		101",√·√µ,2017-02-07,0.8,2,90,11:19,3.6,340,8:03
"		101",√·√µ,2017-02-08,1.1,2.7,200,16:48,4.9,200,18:38
"		101",√·√µ,2017-02-09,2.1,4.9,230,15:43,8.5,200,12:52
"		101",√·√µ,2017-02-10,2,4.3,250,18:40,7.8,180,14:23
"		101",√·√µ,2017-02-11,1.3,4.2,230,16:54,8.1,250,16:48
"		101",√·√µ,2017-02-12,1.1,3.9,230,15:20,6.4,230,15:06
"		101",√·√µ,2017-02-13,1.1,4,250,16:14,7.4,270,16:14
"		101",√·√µ,2017-02-14,1,3.1,230,15:47,5.7,200,15:41
"		101",√·√µ,2017-02-15,1.1,3.1,200,17:01,6,180,16:59
"		101",√·√µ,2017-02-16,0.9,3,230,14:19,5.7,230,14:15
"		101",√·√µ,2017-02-17,2.5,4.7,230,11:43,8.2,230,11:03
"		101",√·√µ,2017-02-18,1.9,5.8,270,17:07,9.8,290,17:08
"		101",√·√µ,2017-02-19,1.1,3.5,200,12:27,6.3,200,16:16
"		101",√·√µ,2017-02-20,2.2,6.5,340,14:36,9.9,340,15:09
"		101",√·√µ,2017-02-21,1,2.3,360,7:42,3.6,360,7:39
"		101",√·√µ,2017-02-22,0.7,2,340,9:23,3.4,160,8:32
"		101",√·√µ,2017-02-23,2,4.8,230,12:52,8.6,200,12:43
"		101",√·√µ,2017-02-24,1.7,5.1,250,14:21,9.1,250,14:20
"		101",√·√µ,2017-02-25,1.7,5.2,230,14:24,8.5,200,14:18
"		101",√·√µ,2017-02-26,0.9,2.7,230,13:55,4.6,200,13:39
"		101",√·√µ,2017-02-27,1,2.5,200,16:41,4.8,180,16:10
"		101",√·√µ,2017-02-28,1,3.5,230,17:05,5.9,200,16:57
"		101",√·√µ,2017-03-01,0.9,3.6,290,18:30,6.8,200,17:41
"		101",√·√µ,2017-03-02,1.7,4.4,230,15:34,8,230,15:34
"		101",√·√µ,2017-03-03,1.3,3.9,200,15:19,7.1,200,15:14
"		101",√·√µ,2017-03-04,0.9,2.5,230,16:29,4.9,250,16:24
"		101",√·√µ,2017-03-05,1.5,3.9,230,19:26,6.8,230,16:56
"		101",√·√µ,2017-03-06,2.5,5.3,340,15:26,9.5,340,15:26
"		101",√·√µ,2017-03-07,2.9,4.7,250,7:38,8.3,250,4:26
"		101",√·√µ,2017-03-08,2.2,5.5,250,15:17,9.7,250,15:35
"		101",√·√µ,2017-03-09,2.5,5.9,250,16:32,12.2,250,16:31
"		101",√·√µ,2017-03-10,1.3,4.6,270,16:21,7.9,290,16:19
