지역,측정소명,날짜,이산화질소 농도
춘천시,중앙로,2019-12-01,0.031
춘천시,석사동,2019-12-01,0.037
원주시,중앙동,2019-12-01,0.031
원주시,반곡동,2019-12-01,0.033
원주시,문막읍,2019-12-01,0.032
강릉시,옥천동,2019-12-01,0.016
동해시,천곡동,2019-12-01,0.019
삼척시,남양동,2019-12-01,0.021
속초시,금호동,2019-12-01,0.020
태백시,황지동,2019-12-01,0.010
춘천시,중앙로,2019-12-02,0.007
춘천시,석사동,2019-12-02,0.010
원주시,중앙동,2019-12-02,0.016
원주시,반곡동,2019-12-02,0.015
원주시,문막읍,2019-12-02,0.015
강릉시,옥천동,2019-12-02,0.008
동해시,천곡동,2019-12-02,0.007
삼척시,남양동,2019-12-02,0.015
속초시,금호동,2019-12-02,0.006
태백시,황지동,2019-12-02,0.010
춘천시,중앙로,2019-12-03,0.022
춘천시,석사동,2019-12-03,0.026
원주시,중앙동,2019-12-03,0.027
원주시,반곡동,2019-12-03,0.023
원주시,문막읍,2019-12-03,0.024
강릉시,옥천동,2019-12-03,0.018
동해시,천곡동,2019-12-03,0.013
삼척시,남양동,2019-12-03,0.022
속초시,금호동,2019-12-03,0.009
태백시,황지동,2019-12-03,1.175
춘천시,중앙로,2019-12-04,0.027
춘천시,석사동,2019-12-04,0.028
원주시,중앙동,2019-12-04,0.031
원주시,반곡동,2019-12-04,0.027
원주시,문막읍,2019-12-04,0.026
강릉시,옥천동,2019-12-04,0.023
동해시,천곡동,2019-12-04,0.017
삼척시,남양동,2019-12-04,0.021
속초시,금호동,2019-12-04,0.008
태백시,황지동,2019-12-04,0.010
춘천시,중앙로,2019-12-05,0.011
춘천시,석사동,2019-12-05,0.013
원주시,중앙동,2019-12-05,0.020
원주시,반곡동,2019-12-05,0.015
원주시,문막읍,2019-12-05,0.017
강릉시,옥천동,2019-12-05,0.008
동해시,천곡동,2019-12-05,0.009
삼척시,남양동,2019-12-05,0.014
속초시,금호동,2019-12-05,0.007
태백시,황지동,2019-12-05,0.008
춘천시,중앙로,2019-12-06,0.019
춘천시,석사동,2019-12-06,0.024
원주시,중앙동,2019-12-06,0.024
원주시,반곡동,2019-12-06,0.018
원주시,문막읍,2019-12-06,0.021
강릉시,옥천동,2019-12-06,0.009
