0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍","측정대상 : 이산화질소  측정기간 : 2019년 01월  단위 : ppm  검색 영월읍,정선읍,갈말읍,인제읍",
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,0.257,3.128,0.008,1.053,0.019,0.018,0.015,0.019,0.015,0.012,0.407,0.02,0.018,0.016,0.021,0.017,0.014,0.016,0.016,0.02,0.012,0.014,0.015,0.017,0.013,0.013,0.009,0.011,0.01,0.014,0.017,0.41
정선군,정선읍,0.136,0.021,0.015,0.024,0.021,0.021,0.017,0.022,0.015,0.011,1.185,0.022,0.019,0.016,0.021,0.019,0.015,0.013,0.018,0.02,0.013,0.011,0.015,0.018,0.016,0.016,0.008,0.012,0.01,0.014,0.019,1.196
철원군,갈말읍,0.02,0.009,0.008,0.001,0.013,0.011,0.01,0.016,0.015,0.015,0.017,0.016,0.018,0.013,0.02,0.015,0.011,0.017,0.016,0.023,0.012,0.021,0.018,0.018,0.013,0.011,0.009,0.01,0.011,0.015,0.015,0.011
영월군,영월읍,0.615,9.353,-,3.135,0.024,0.021,0.018,0.018,0.014,0.01,0.018,0.021,0.016,0.018,0.022,0.017,0.017,0.018,0.013,0.016,0.011,0.009,0.011,0.015,0.011,0.013,0.01,0.011,0.008,0.013,0.018,0.022
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,0.034,0.014,0.017,0.019,0.009,0.014,0.015,0.008,0.011,0.012,0.011,0.014,0.016,0.014,0.015,0.018,0.069,0.013,0.018,0.02,0.072,0.018,0.019,0.016,0.016,0.018,0.018,0.192,0.019,0,0,0
춘천시,중앙로,0.024,0.015,0.024,0.029,0.012,0.019,0.024,0.009,0.012,0.009,0.015,0.014,0.019,0.021,0.022,0.023,0.01,0.012,0.02,0.022,0.011,0.019,0.021,0.019,0.021,0.021,0.021,0.024,0.025,-,-,-
춘천시,석사동,0.03,0.019,0.031,0.031,0.013,0.022,0.026,0.01,0.014,0.013,0.015,0.017,0.022,0.021,0.025,0.025,0.017,0.02,0.03,0.026,0.018,0.026,0.029,0.024,0.027,0.03,0.03,0.027,0.029,-,-,-
양구군,양구읍,0.017,0.01,0.013,0.016,0.006,0.009,0.011,0.006,0.005,0.004,0.006,0.009,0.013,0.012,0.014,0.02,0.009,0.012,0.015,0.018,0.009,0.018,0.015,0.013,0.018,0.019,0.014,0.017,0.019,-,-,-
원주시,중앙동,0.032,0.022,0.027,0.027,0.016,0.021,0.026,0.014,0.016,0.022,0.019,0.026,0.029,0.027,0.025,0.029,0.015,0.023,0.029,0.032,0.025,0.025,0.028,0.024,0.02,0.03,0.029,0.025,0.029,-,-,-
원주시,반곡동,0.033,0.016,0.027,0.024,0.009,0.021,0.026,0.009,0.012,0.017,0.018,0.019,0.028,0.027,0.029,0.03,0.015,0.026,0.03,0.033,0.025,0.029,0.033,0.03,0.026,0.035,0.033,0.03,0.035,-,-,-
원주시,문막읍,0.031,0.022,0.021,0.022,0.014,0.018,0.022,0.013,0.016,0.019,0.021,0.023,0.025,0.022,0.022,0.031,0.018,0.021,0.025,0.032,0.029,0.026,0.029,0.025,0.021,0.028,0.027,0.026,0.029,-,-,-
강릉시,옥천동,0.021,0.014,0.012,0.02,0.01,0.008,0.016,0.012,0.015,0.017,0.011,0.016,0.019,0.013,0.018,0.02,0.011,0.011,0.02,0.021,0.011,0.018,0.019,0.021,0.016,0.021,0.019,0.019,0.021,-,-,-
동해시,천곡동,0.024,0.019,0.024,0.027,0.006,0.024,0.017,0.007,0.014,0.014,0.015,0.011,0.015,0.007,0.013,0.017,0.007,0.011,0.024,0.018,0.011,0.028,0.027,0.021,0.028,0.019,0.027,0.025,0.02,-,-,-
삼척시,남양동,0.023,0.017,0.018,0.023,0.014,0.02,0.015,0.011,0.016,0.015,0.015,0.018,0.02,0.018,0.017,0.02,0.014,0.015,0.018,0.021,0.015,0.018,0.018,0.019,0.023,0.019,0.016,0.02,0.018,-,-,-
