"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",시군,통합,춘천시,춘천시,양구군,원주시,원주시,원주시,강릉시,동해시,삼척시,평창군,정선군,횡성군,고성군,양양군,속초시,철원군,홍천군,영월군,화천군,태백시,인제군
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",측정소,평균,중앙로,석사동,양구읍,중앙동,반곡동,문막읍,옥천동,천곡동,남양동,평창읍,정선읍,횡성읍,상리,양양읍,금호동,갈말읍,홍천읍,영월읍,화천읍,황지동,인제읍
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",평균,0.052,0.021,0.019,0.012,0.022,0.021,0.022,0.019,0.024,0.020,0.122,0.178,0.016,0.008,0.009,0.014,0.011,0.017,0.288,0.009,0.235,0.008
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",01일,0.009,0.014,0.012,0.009,0.012,0.008,0.015,0.013,0.008,0.011,0.008,0.005,0.010,0.005,0.005,0.005,0.010,0.008,0.010,0.007,0.006,0.000
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",02일,0.010,0.016,0.014,0.008,0.014,0.011,0.017,0.012,0.009,0.012,0.010,0.007,0.011,0.007,0.006,0.007,0.010,0.009,0.013,0.006,0.008,0.002
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",03일,0.066,0.018,0.015,0.011,0.014,0.010,0.018,0.013,0.009,0.013,1.177,0.007,0.013,0.005,0.006,0.007,0.013,0.013,0.011,0.007,0.010,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",04일,0.067,0.018,0.018,0.016,0.014,0.014,0.018,0.008,0.010,0.011,0.012,0.008,0.013,0.008,0.006,0.007,0.012,0.015,1.178,0.009,0.006,0.006
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",05일,0.288,0.013,0.011,0.008,0.018,0.016,0.019,0.011,0.017,0.010,0.011,2.342,0.012,0.006,0.007,0.008,0.007,0.011,0.010,0.006,3.508,0.005
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",06일,0.012,0.016,0.013,0.007,0.018,0.023,0.017,0.015,0.023,0.016,0.011,0.008,0.013,0.004,0.005,0.008,0.009,0.013,0.012,0.005,0.008,0.004
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",07일,0.008,0.009,0.009,0.006,0.010,0.014,0.011,0.013,0.011,0.011,0.006,0.006,0.008,0.004,0.005,0.007,0.006,0.007,0.009,0.004,0.007,0.003
"측정대상 : 이산화질소  측정기간 : 2019년 04월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",08일,0.010,0.016,0.014,0.007,0.016,0.018,0.016,0.014,0.022,0.011,0.007,0.005,0.011,0.005,0.005,0.009,0.007,0.012,0.009,0.005,0.006,0.004
