0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
"측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리","측정대상 : 이산화질소  측정기간 : 2022년 01월  단위 : ppm  검색 옥천동,주문진읍,초당동,천곡동,남양동,금호동,양양읍,영월읍,지정면,반곡동,중앙동,문막읍,정선읍,중앙로,신사우동,석사동,황지동,평창읍,홍천읍,횡성읍,우천면,갈말읍,화천읍,양구읍,인제읍,상리",
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,0.039,0.016,0.015,0.016,0.018,0.071,0.070,0.022,0.022,0.020,0.023,0.012,0.013,0.063,0.016,0.020,0.013,0.012,0.117,0.020,0.016,0.019,0.021,0.017,0.014,0.020,0.067,0.018,0.017,0.013,0.012,0.014
춘천시,중앙로,0.034,0.025,0.020,0.026,0.025,0.034,0.030,0.032,0.037,0.025,0.033,0.009,0.012,0.012,0.020,0.035,0.015,0.011,0.017,0.028,0.027,0.028,0.034,0.025,0.016,0.026,0.022,0.019,0.017,0.012,0.018,0.022
춘천시,석사동,0.038,0.025,0.026,0.024,0.027,0.028,0.029,0.032,0.033,0.031,0.033,0.015,0.019,0.016,0.025,0.033,0.018,0.018,0.023,0.031,0.029,0.031,0.032,0.030,0.020,0.035,0.026,0.026,0.025,0.018,0.021,0.025
춘천시,신사우동,0.022,0.012,0.012,0.015,0.018,0.018,0.017,0.019,0.027,0.021,0.024,0.008,0.011,0.009,0.013,0.023,0.013,0.009,0.013,0.021,0.014,0.014,0.021,0.018,0.008,0.022,0.015,0.012,0.013,0.010,0.008,0.012
양구군,양구읍,0.024,0.013,0.015,0.014,0.016,0.020,0.019,0.021,0.021,0.022,0.023,0.009,0.010,0.008,0.015,0.017,0.011,0.011,0.016,0.019,0.018,0.017,0.022,0.020,0.011,0.021,0.015,0.017,0.015,0.013,0.013,0.016
원주시,중앙동,0.042,0.020,0.023,0.026,0.027,0.032,0.030,0.029,0.034,0.024,0.032,0.021,0.025,0.021,0.025,0.031,0.024,0.025,0.027,0.033,0.031,0.032,0.035,0.030,0.032,0.031,0.031,0.034,0.031,0.027,0.023,0.026
원주시,반곡동,0.039,0.022,0.025,0.025,0.026,0.035,0.034,0.035,0.036,0.025,0.033,0.020,0.022,0.016,0.023,0.033,0.017,0.021,0.024,0.033,0.026,0.031,0.034,0.029,0.028,0.024,0.026,0.030,0.028,0.021,0.019,0.019
원주시,문막읍,0.035,0.016,0.019,0.025,0.027,0.028,0.027,0.030,0.031,0.026,0.033,0.019,0.021,0.015,0.021,0.027,0.019,0.019,0.022,0.029,0.019,0.024,0.028,0.025,0.027,0.026,0.023,0.028,0.025,0.019,0.017,0.017
