지역,측정소명,날짜,일산화탄소 농도
춘천시,중앙로,2018-08-01,0.2
춘천시,석사동,2018-08-01,0.3
원주시,중앙동,2018-08-01,0.2
원주시,반곡동,2018-08-01,0.1
강릉시,옥천동,2018-08-01,0.3
동해시,천곡동,2018-08-01,0.4
삼척시,남양동,2018-08-01,1.1
평창군,평창읍,2018-08-01,0.2
춘천시,중앙로,2018-08-02,0.2
춘천시,석사동,2018-08-02,0.4
원주시,중앙동,2018-08-02,0.2
원주시,반곡동,2018-08-02,0.2
강릉시,옥천동,2018-08-02,0.2
동해시,천곡동,2018-08-02,0.4
삼척시,남양동,2018-08-02,0.3
평창군,평창읍,2018-08-02,0.1
춘천시,중앙로,2018-08-03,0.3
춘천시,석사동,2018-08-03,0.5
원주시,중앙동,2018-08-03,0.1
원주시,반곡동,2018-08-03,0.2
강릉시,옥천동,2018-08-03,0.3
동해시,천곡동,2018-08-03,0.6
삼척시,남양동,2018-08-03,0.3
평창군,평창읍,2018-08-03,0.2
춘천시,중앙로,2018-08-04,0.2
춘천시,석사동,2018-08-04,0.4
원주시,중앙동,2018-08-04,0.1
원주시,반곡동,2018-08-04,0.2
강릉시,옥천동,2018-08-04,0.3
동해시,천곡동,2018-08-04,0.7
삼척시,남양동,2018-08-04,0.3
평창군,평창읍,2018-08-04,0.2
춘천시,중앙로,2018-08-05,0.2
춘천시,석사동,2018-08-05,0.3
원주시,중앙동,2018-08-05,0.1
원주시,반곡동,2018-08-05,0.1
강릉시,옥천동,2018-08-05,0.2
동해시,천곡동,2018-08-05,0.2
삼척시,남양동,2018-08-05,0.1
평창군,평창읍,2018-08-05,0.2
춘천시,중앙로,2018-08-06,0.3
춘천시,석사동,2018-08-06,0.4
원주시,중앙동,2018-08-06,0.1
원주시,반곡동,2018-08-06,0.2
강릉시,옥천동,2018-08-06,0.2
동해시,천곡동,2018-08-06,0.3
삼척시,남양동,2018-08-06,0.2
평창군,평창읍,2018-08-06,0.1
춘천시,중앙로,2018-08-07,0.3
춘천시,석사동,2018-08-07,0.4
원주시,중앙동,2018-08-07,0.1
원주시,반곡동,2018-08-07,0.2
강릉시,옥천동,2018-08-07,0.2
동해시,천곡동,2018-08-07,1.4
삼척시,남양동,2018-08-07,0.3
평창군,평창읍,2018-08-07,0.2
춘천시,중앙로,2018-08-08,0.2
춘천시,석사동,2018-08-08,0.4
원주시,중앙동,2018-08-08,0.2
원주시,반곡동,2018-08-08,0.2
강릉시,옥천동,2018-08-08,0.3
동해시,천곡동,2018-08-08,0.3
삼척시,남양동,2018-08-08,0.3
평창군,평창읍,2018-08-08,0.2
춘천시,중앙로,2018-08-09,0.3
춘천시,석사동,2018-08-09,0.4
원주시,중앙동,2018-08-09,0.1
원주시,반곡동,2018-08-09,0.3
강릉시,옥천동,2018-08-09,0.4
동해시,천곡동,2018-08-09,0.3
삼척시,남양동,2018-08-09,0.4
평창군,평창읍,2018-08-09,0.2
춘천시,중앙로,2018-08-10,0.3
춘천시,석사동,2018-08-10,0.4
원주시,중앙동,2018-08-10,0.1
원주시,반곡동,2018-08-10,0.3
강릉시,옥천동,2018-08-10,0.2
동해시,천곡동,2018-08-10,0.3
삼척시,남양동,2018-08-10,1.0
평창군,평창읍,2018-08-10,0.2
춘천시,중앙로,2018-08-11,0.2
