瘤痢,瘤痢疙,老矫,钦拌 老炼矫埃(hr)
114,盔林,2017-01-01,0.7
114,盔林,2017-01-02,0.8
114,盔林,2017-01-03,6.7
114,盔林,2017-01-04,5.6
114,盔林,2017-01-05,0.1
114,盔林,2017-01-06,8.4
114,盔林,2017-01-07,6.0
114,盔林,2017-01-08,5.7
114,盔林,2017-01-09,5.7
114,盔林,2017-01-10,7.5
114,盔林,2017-01-11,8.3
114,盔林,2017-01-12,6.8
114,盔林,2017-01-13,3.1
114,盔林,2017-01-14,8.8
114,盔林,2017-01-15,8.8
114,盔林,2017-01-16,8.8
114,盔林,2017-01-17,8.4
114,盔林,2017-01-18,4.1
114,盔林,2017-01-19,7.0
114,盔林,2017-01-20,0.5
114,盔林,2017-01-21,4.0
114,盔林,2017-01-22,8.9
114,盔林,2017-01-23,9.0
114,盔林,2017-01-24,9.0
114,盔林,2017-01-25,9.0
114,盔林,2017-01-26,7.1
114,盔林,2017-01-27,8.9
114,盔林,2017-01-28,7.5
114,盔林,2017-01-29,0.0
114,盔林,2017-01-30,0.3
114,盔林,2017-01-31,7.5
114,盔林,2017-02-01,9.1
114,盔林,2017-02-02,9.4
114,盔林,2017-02-03,4.5
114,盔林,2017-02-04,0.4
114,盔林,2017-02-05,0.0
114,盔林,2017-02-06,9.0
114,盔林,2017-02-07,2.8
114,盔林,2017-02-08,0.8
114,盔林,2017-02-09,6.7
114,盔林,2017-02-10,9.0
114,盔林,2017-02-11,9.7
114,盔林,2017-02-12,9.8
114,盔林,2017-02-13,6.8
114,盔林,2017-02-14,6.9
114,盔林,2017-02-15,8.9
114,盔林,2017-02-18,9.4
114,盔林,2017-02-19,2.8
114,盔林,2017-02-20,8.3
114,盔林,2017-02-21,10.0
114,盔林,2017-02-22,0.0
114,盔林,2017-02-23,1.2
114,盔林,2017-02-24,7.3
114,盔林,2017-02-25,8.8
114,盔林,2017-02-26,8.0
114,盔林,2017-02-27,10.2
114,盔林,2017-02-28,10.1
114,盔林,2017-03-01,0.3
114,盔林,2017-03-02,0.3
114,盔林,2017-03-03,10.2
114,盔林,2017-03-04,10.4
114,盔林,2017-03-05,5.5
114,盔林,2017-03-06,9.8
114,盔林,2017-03-07,10.6
114,盔林,2017-03-08,8.0
114,盔林,2017-03-09,9.6
114,盔林,2017-03-10,10.7
114,盔林,2017-03-11,10.6
114,盔林,2017-03-12,4.3
114,盔林,2017-03-13,9.3
114,盔林,2017-03-14,6.1
114,盔林,2017-03-15,10.9
114,盔林,2017-03-16,10.3
114,盔林,2017-03-17,10.8
114,盔林,2017-03-18,7.8
114,盔林,2017-03-19,10.7
114,盔林,2017-03-20,1.8
114,盔林,2017-03-21,3.8
114,盔林,2017-03-22,9.8
114,盔林,2017-03-23,6.8
114,盔林,2017-03-24,7.1
114,盔林,2017-03-25,0.0
114,盔林,2017-03-26,2.9
114,盔林,2017-03-27,0.5
114,盔林,2017-03-28,3.6
114,盔林,2017-03-29,9.2
114,盔林,2017-03-30,9.8
114,盔林,2017-03-31,0.0
114,盔林,2017-04-01,1.9
114,盔林,2017-04-02,7.3
114,盔林,2017-04-03,11.5
114,盔林,2017-04-04,11.6
114,盔林,2017-04-05,0.0
114,盔林,2017-04-06,5.4
114,盔林,2017-04-07,9.1
114,盔林,2017-04-08,8.9
114,盔林,2017-04-09,0.7
114,盔林,2017-04-10,11.0
114,盔林,2017-04-11,8.1
114,盔林,2017-04-12,11.8
114,盔林,2017-04-13,10.1
114,盔林,2017-04-14,5.7
114,盔林,2017-04-15,6.0
114,盔林,2017-04-16,2.3
114,盔林,2017-04-17,0.0
114,盔林,2017-04-18,2.6
114,盔林,2017-04-19,12.2
114,盔林,2017-04-20,0.3
114,盔林,2017-04-21,9.8
114,盔林,2017-04-22,10.0
114,盔林,2017-04-23,7.1
114,盔林,2017-04-24,11.4
114,盔林,2017-04-25,5.0
114,盔林,2017-04-26,12.0
114,盔林,2017-04-27,10.3
114,盔林,2017-04-28,12.0
114,盔林,2017-04-29,8.2
114,盔林,2017-04-30,2.4
114,盔林,2017-05-01,6.7
