ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ Áö¸é¿Âµµ(¡ÆC)
105,°­¸ª,2017-01-01,3.8
105,°­¸ª,2017-01-02,6.2
105,°­¸ª,2017-01-03,4.0
105,°­¸ª,2017-01-04,3.6
105,°­¸ª,2017-01-05,1.8
105,°­¸ª,2017-01-06,3.8
105,°­¸ª,2017-01-07,4.6
105,°­¸ª,2017-01-08,5.5
105,°­¸ª,2017-01-09,4.4
105,°­¸ª,2017-01-10,0.3
105,°­¸ª,2017-01-11,-3.3
105,°­¸ª,2017-01-12,-0.6
105,°­¸ª,2017-01-13,-3.5
105,°­¸ª,2017-01-14,-6.0
105,°­¸ª,2017-01-15,-3.4
105,°­¸ª,2017-01-16,-1.0
105,°­¸ª,2017-01-17,-0.2
105,°­¸ª,2017-01-18,2.4
105,°­¸ª,2017-01-19,1.4
105,°­¸ª,2017-01-20,-0.3
105,°­¸ª,2017-01-21,0.0
105,°­¸ª,2017-01-22,0.1
105,°­¸ª,2017-01-23,0.3
105,°­¸ª,2017-01-24,0.2
105,°­¸ª,2017-01-25,-0.1
105,°­¸ª,2017-01-26,-0.3
105,°­¸ª,2017-01-27,0.2
105,°­¸ª,2017-01-28,-1.1
105,°­¸ª,2017-01-29,0.3
105,°­¸ª,2017-01-30,0.2
105,°­¸ª,2017-01-31,0.4
105,°­¸ª,2017-02-01,0.1
105,°­¸ª,2017-02-02,-1.4
105,°­¸ª,2017-02-03,2.1
105,°­¸ª,2017-02-04,6.7
105,°­¸ª,2017-02-05,4.7
105,°­¸ª,2017-02-06,0.9
105,°­¸ª,2017-02-07,2.3
105,°­¸ª,2017-02-08,3.4
105,°­¸ª,2017-02-09,1.0
105,°­¸ª,2017-02-10,-3.5
105,°­¸ª,2017-02-11,-2.5
105,°­¸ª,2017-02-12,-0.5
105,°­¸ª,2017-02-13,1.2
105,°­¸ª,2017-02-14,-0.4
105,°­¸ª,2017-02-15,3.7
105,°­¸ª,2017-02-16,9.1
105,°­¸ª,2017-02-17,6.2
105,°­¸ª,2017-02-18,1.3
105,°­¸ª,2017-02-19,3.7
105,°­¸ª,2017-02-20,5.0
105,°­¸ª,2017-02-21,1.7
105,°­¸ª,2017-02-22,4.2
105,°­¸ª,2017-02-23,3.5
105,°­¸ª,2017-02-24,3.6
105,°­¸ª,2017-02-25,3.5
105,°­¸ª,2017-02-26,4.4
105,°­¸ª,2017-02-27,5.2
105,°­¸ª,2017-02-28,7.7
105,°­¸ª,2017-03-01,8.7
105,°­¸ª,2017-03-02,3.8
105,°­¸ª,2017-03-03,5.5
105,°­¸ª,2017-03-04,8.0
105,°­¸ª,2017-03-05,7.1
105,°­¸ª,2017-03-06,4.8
105,°­¸ª,2017-03-07,2.9
105,°­¸ª,2017-03-08,5.1
105,°­¸ª,2017-03-09,8.2
105,°­¸ª,2017-03-10,9.9
105,°­¸ª,2017-03-11,10.3
105,°­¸ª,2017-03-12,7.8
105,°­¸ª,2017-03-13,8.9
105,°­¸ª,2017-03-14,3.7
105,°­¸ª,2017-03-15,5.2
105,°­¸ª,2017-03-16,7.2
105,°­¸ª,2017-03-17,10.3
105,°­¸ª,2017-03-18,12.2
105,°­¸ª,2017-03-19,12.5
105,°­¸ª,2017-03-20,9.9
105,°­¸ª,2017-03-21,7.5
105,°­¸ª,2017-03-22,11.4
105,°­¸ª,2017-03-23,7.4
105,°­¸ª,2017-03-24,8.1
105,°­¸ª,2017-03-25,8.0
105,°­¸ª,2017-03-26,7.6
105,°­¸ª,2017-03-27,7.8
105,°­¸ª,2017-03-28,9.2
105,°­¸ª,2017-03-29,12.0
105,°­¸ª,2017-03-30,12.7
105,°­¸ª,2017-03-31,9.1
105,°­¸ª,2017-04-01,7.7
105,°­¸ª,2017-04-02,12.3
105,°­¸ª,2017-04-03,14.4
105,°­¸ª,2017-04-04,16.0
105,°­¸ª,2017-04-05,13.1
105,°­¸ª,2017-04-06,15.0
105,°­¸ª,2017-04-07,17.5
105,°­¸ª,2017-04-08,18.4
105,°­¸ª,2017-04-09,14.0
105,°­¸ª,2017-04-10,14.8
105,°­¸ª,2017-04-11,14.6
105,°­¸ª,2017-04-12,16.1
105,°­¸ª,2017-04-13,15.2
105,°­¸ª,2017-04-14,16.0
105,°­¸ª,2017-04-15,19.1
105,°­¸ª,2017-04-16,18.8
105,°­¸ª,2017-04-17,13.5
105,°­¸ª,2017-04-18,15.4
105,°­¸ª,2017-04-19,15.7
105,°­¸ª,2017-04-20,16.1
105,°­¸ª,2017-04-21,15.5
105,°­¸ª,2017-04-22,18.4
105,°­¸ª,2017-04-23,19.3
105,°­¸ª,2017-04-24,21.1
105,°­¸ª,2017-04-25,20.2
105,°­¸ª,2017-04-26,20.4
105,°­¸ª,2017-04-27,19.0
105,°­¸ª,2017-04-28,20.0
105,°­¸ª,2017-04-29,22.8
105,°­¸ª,2017-04-30,23.0
105,°­¸ª,2017-05-01,23.5
105,°­¸ª,2017-05-02,21.4
105,°­¸ª,2017-05-03,23.8
105,°­¸ª,2017-05-04,24.5
105,°­¸ª,2017-05-05,27.5
105,°­¸ª,2017-05-06,25.3
105,°­¸ª,2017-05-07,24.8
105,°­¸ª,2017-05-08,26.6
105,°­¸ª,2017-05-09,19.4
105,°­¸ª,2017-05-10,17.4
105,°­¸ª,2017-05-11,24.8
105,°­¸ª,2017-05-12,22.1
105,°­¸ª,2017-05-13,20.1
105,°­¸ª,2017-05-14,22.1
105,°­¸ª,2017-05-15,24.6
105,°­¸ª,2017-05-16,21.8
105,°­¸ª,2017-05-17,25.5
105,°­¸ª,2017-05-18,30.5
105,°­¸ª,2017-05-19,31.9
105,°­¸ª,2017-05-20,32.6
105,°­¸ª,2017-05-21,30.7
105,°­¸ª,2017-05-22,25.9
105,°­¸ª,2017-05-23,25.3
105,°­¸ª,2017-05-24,24.4
105,°­¸ª,2017-05-25,27.3
105,°­¸ª,2017-05-26,18.4
105,°­¸ª,2017-05-27,26.1
105,°­¸ª,2017-05-28,28.3
105,°­¸ª,2017-05-29,31.9
105,°­¸ª,2017-05-30,26.8
105,°­¸ª,2017-05-31,28.1
105,°­¸ª,2017-06-01,23.1
105,°­¸ª,2017-06-02,25.0
105,°­¸ª,2017-06-03,27.0
105,°­¸ª,2017-06-04,28.7
105,°­¸ª,2017-06-05,26.9
105,°­¸ª,2017-06-06,20.4
105,°­¸ª,2017-06-07,19.0
105,°­¸ª,2017-06-08,25.2
105,°­¸ª,2017-06-09,24.6
105,°­¸ª,2017-06-10,26.1
105,°­¸ª,2017-06-11,24.8
105,°­¸ª,2017-06-12,25.3
105,°­¸ª,2017-06-13,25.3
105,°­¸ª,2017-06-14,27.5
105,°­¸ª,2017-06-15,30.7
105,°­¸ª,2017-06-16,29.5
105,°­¸ª,2017-06-17,30.4
105,°­¸ª,2017-06-18,30.8
105,°­¸ª,2017-06-19,30.9
105,°­¸ª,2017-06-20,30.9
105,°­¸ª,2017-06-21,28.0
105,°­¸ª,2017-06-22,31.2
105,°­¸ª,2017-06-23,31.8
105,°­¸ª,2017-06-24,27.6
105,°­¸ª,2017-06-25,25.0
105,°­¸ª,2017-06-26,25.2
105,°­¸ª,2017-06-27,27.9
105,°­¸ª,2017-06-28,29.7
105,°­¸ª,2017-06-29,27.6
105,°­¸ª,2017-06-30,32.5
105,°­¸ª,2017-07-01,30.9
105,°­¸ª,2017-07-02,24.9
105,°­¸ª,2017-07-03,26.0
105,°­¸ª,2017-07-04,25.5
105,°­¸ª,2017-07-05,28.3
105,°­¸ª,2017-07-06,28.6
105,°­¸ª,2017-07-07,27.3
105,°­¸ª,2017-07-08,26.8
105,°­¸ª,2017-07-09,29.8
105,°­¸ª,2017-07-10,27.2
105,°­¸ª,2017-07-11,29.9
105,°­¸ª,2017-07-12,30.3
105,°­¸ª,2017-07-13,31.3
105,°­¸ª,2017-07-14,32.5
105,°­¸ª,2017-07-15,29.3
105,°­¸ª,2017-07-16,28.7
105,°­¸ª,2017-07-17,30.8
105,°­¸ª,2017-07-18,31.4
105,°­¸ª,2017-07-19,32.6
105,°­¸ª,2017-07-20,34.6
105,°­¸ª,2017-07-21,33.2
105,°­¸ª,2017-07-22,26.3
105,°­¸ª,2017-07-23,24.8
105,°­¸ª,2017-07-24,25.7
105,°­¸ª,2017-07-25,27.2
105,°­¸ª,2017-07-26,28.9
105,°­¸ª,2017-07-27,26.7
105,°­¸ª,2017-07-28,25.9
105,°­¸ª,2017-07-29,25.2
105,°­¸ª,2017-07-30,28.9
105,°­¸ª,2017-07-31,25.4
