지점,지점명,일시,평균 지면온도(°C)
106,동해,2017-01-01,0.7
106,동해,2017-01-02,3.1
106,동해,2017-01-03,1.9
106,동해,2017-01-04,2.2
106,동해,2017-01-05,1.6
106,동해,2017-01-06,3.7
106,동해,2017-01-07,2.6
106,동해,2017-01-08,5.5
106,동해,2017-01-09,2.6
106,동해,2017-01-10,-1.3
106,동해,2017-01-11,-2.9
106,동해,2017-01-12,-1.1
106,동해,2017-01-13,-2.9
106,동해,2017-01-14,-4.7
106,동해,2017-01-15,-3.8
106,동해,2017-01-16,-1.4
106,동해,2017-01-17,-1.4
106,동해,2017-01-18,0.3
106,동해,2017-01-19,0.8
106,동해,2017-01-20,-0.7
106,동해,2017-01-21,0.0
106,동해,2017-01-22,0.0
106,동해,2017-01-23,-0.1
106,동해,2017-01-24,-0.2
106,동해,2017-01-25,-0.6
106,동해,2017-01-26,-0.9
106,동해,2017-01-27,-0.3
106,동해,2017-01-28,-0.9
106,동해,2017-01-29,1.6
106,동해,2017-01-30,0.5
106,동해,2017-01-31,0.2
106,동해,2017-02-01,-0.3
106,동해,2017-02-02,-0.3
106,동해,2017-02-03,1.4
106,동해,2017-02-04,2.8
106,동해,2017-02-05,3.6
106,동해,2017-02-06,1.1
106,동해,2017-02-07,1.1
106,동해,2017-02-08,1.9
106,동해,2017-02-09,0.3
106,동해,2017-02-10,-0.8
106,동해,2017-02-11,-0.4
106,동해,2017-02-12,0.3
106,동해,2017-02-13,0.8
106,동해,2017-02-14,2.2
106,동해,2017-02-15,3.1
106,동해,2017-02-16,7.4
106,동해,2017-02-17,7.5
106,동해,2017-02-18,1.3
106,동해,2017-02-19,4.5
106,동해,2017-02-20,6.5
106,동해,2017-02-21,4.5
106,동해,2017-02-22,4.3
106,동해,2017-02-23,4.7
106,동해,2017-02-24,2.4
106,동해,2017-02-25,4.5
106,동해,2017-02-26,3.9
106,동해,2017-02-27,3.3
106,동해,2017-02-28,6.1
106,동해,2017-03-01,7.7
106,동해,2017-03-02,4.2
106,동해,2017-03-03,4.5
106,동해,2017-03-04,4.5
106,동해,2017-03-05,7.2
106,동해,2017-03-06,3.9
106,동해,2017-03-07,3.7
106,동해,2017-03-08,4.3
106,동해,2017-03-09,6.0
106,동해,2017-03-10,7.9
106,동해,2017-03-11,9.0
106,동해,2017-03-12,8.8
