ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ Áö¸é¿Âµµ(¡ÆC)
104,ºÏ°­¸ª,2017-01-01,0.7
104,ºÏ°­¸ª,2017-01-02,3.5
104,ºÏ°­¸ª,2017-01-03,2.4
104,ºÏ°­¸ª,2017-01-04,2.2
104,ºÏ°­¸ª,2017-01-05,1.7
104,ºÏ°­¸ª,2017-01-06,3.9
104,ºÏ°­¸ª,2017-01-07,3.8
104,ºÏ°­¸ª,2017-01-08,4.9
104,ºÏ°­¸ª,2017-01-09,3.8
104,ºÏ°­¸ª,2017-01-10,0.7
104,ºÏ°­¸ª,2017-01-11,-1.0
104,ºÏ°­¸ª,2017-01-12,-0.4
104,ºÏ°­¸ª,2017-01-13,-1.5
104,ºÏ°­¸ª,2017-01-14,-3.4
104,ºÏ°­¸ª,2017-01-15,-2.6
104,ºÏ°­¸ª,2017-01-16,-0.4
104,ºÏ°­¸ª,2017-01-17,-0.6
104,ºÏ°­¸ª,2017-01-18,0.4
104,ºÏ°­¸ª,2017-01-19,0.4
104,ºÏ°­¸ª,2017-01-20,-0.4
104,ºÏ°­¸ª,2017-01-21,-0.1
104,ºÏ°­¸ª,2017-01-22,-0.1
104,ºÏ°­¸ª,2017-01-23,-0.1
104,ºÏ°­¸ª,2017-01-24,0.0
104,ºÏ°­¸ª,2017-01-25,0.0
104,ºÏ°­¸ª,2017-01-26,0.0
104,ºÏ°­¸ª,2017-01-27,0.1
104,ºÏ°­¸ª,2017-01-28,1.4
104,ºÏ°­¸ª,2017-01-29,1.1
104,ºÏ°­¸ª,2017-01-30,0.2
104,ºÏ°­¸ª,2017-01-31,0.2
104,ºÏ°­¸ª,2017-02-01,0.1
104,ºÏ°­¸ª,2017-02-02,0.0
104,ºÏ°­¸ª,2017-02-03,-0.1
104,ºÏ°­¸ª,2017-02-04,0.5
104,ºÏ°­¸ª,2017-02-05,2.8
104,ºÏ°­¸ª,2017-02-06,2.2
104,ºÏ°­¸ª,2017-02-07,1.5
104,ºÏ°­¸ª,2017-02-08,1.6
104,ºÏ°­¸ª,2017-02-09,0.9
104,ºÏ°­¸ª,2017-02-10,-0.3
104,ºÏ°­¸ª,2017-02-11,-0.2
104,ºÏ°­¸ª,2017-02-12,0.7
104,ºÏ°­¸ª,2017-02-13,0.9
104,ºÏ°­¸ª,2017-02-14,2.1
104,ºÏ°­¸ª,2017-02-15,3.2
104,ºÏ°­¸ª,2017-02-16,5.5
104,ºÏ°­¸ª,2017-02-17,6.0
104,ºÏ°­¸ª,2017-02-18,2.3
104,ºÏ°­¸ª,2017-02-19,2.8
104,ºÏ°­¸ª,2017-02-20,3.7
104,ºÏ°­¸ª,2017-02-21,2.9
104,ºÏ°­¸ª,2017-02-22,2.9
104,ºÏ°­¸ª,2017-02-23,3.8
104,ºÏ°­¸ª,2017-02-24,2.7
104,ºÏ°­¸ª,2017-02-25,2.9
104,ºÏ°­¸ª,2017-02-26,2.6
104,ºÏ°­¸ª,2017-02-27,3.0
104,ºÏ°­¸ª,2017-02-28,4.9
104,ºÏ°­¸ª,2017-03-01,6.5
104,ºÏ°­¸ª,2017-03-02,3.9
104,ºÏ°­¸ª,2017-03-03,5.3
104,ºÏ°­¸ª,2017-03-04,4.2
104,ºÏ°­¸ª,2017-03-05,6.6
104,ºÏ°­¸ª,2017-03-06,4.8
104,ºÏ°­¸ª,2017-03-07,3.0
104,ºÏ°­¸ª,2017-03-08,3.0
104,ºÏ°­¸ª,2017-03-09,4.8
104,ºÏ°­¸ª,2017-03-10,5.3
