瘤痢,瘤痢疙,老矫,乞闭 瘤搁柯档(∑C)
90,加檬,2017-01-01,2.2
90,加檬,2017-01-02,4.4
90,加檬,2017-01-03,2.8
90,加檬,2017-01-04,3.0
90,加檬,2017-01-05,2.1
90,加檬,2017-01-06,4.3
90,加檬,2017-01-07,4.2
90,加檬,2017-01-08,4.9
90,加檬,2017-01-09,4.2
90,加檬,2017-01-10,0.8
90,加檬,2017-01-11,-1.1
90,加檬,2017-01-12,0.0
90,加檬,2017-01-13,-1.8
90,加檬,2017-01-14,-2.9
90,加檬,2017-01-15,-1.6
90,加檬,2017-01-16,-0.5
90,加檬,2017-01-17,0.0
90,加檬,2017-01-18,0.8
90,加檬,2017-01-19,0.7
90,加檬,2017-01-20,-0.5
90,加檬,2017-01-21,-0.2
90,加檬,2017-01-22,-0.2
90,加檬,2017-01-23,-0.3
90,加檬,2017-01-24,-0.3
90,加檬,2017-01-25,-0.2
90,加檬,2017-01-26,-0.1
90,加檬,2017-01-27,0.0
90,加檬,2017-01-28,-0.2
90,加檬,2017-01-29,0.0
90,加檬,2017-01-30,-0.1
90,加檬,2017-01-31,0.0
90,加檬,2017-02-01,0.0
90,加檬,2017-02-02,0.0
90,加檬,2017-02-03,0.0
90,加檬,2017-02-04,0.0
90,加檬,2017-02-05,0.2
90,加檬,2017-02-06,1.5
90,加檬,2017-02-07,0.4
90,加檬,2017-02-08,1.8
90,加檬,2017-02-09,1.4
90,加檬,2017-02-10,-0.4
90,加檬,2017-02-11,0.2
90,加檬,2017-02-12,1.1
90,加檬,2017-02-13,1.2
90,加檬,2017-02-14,1.9
90,加檬,2017-02-15,2.6
90,加檬,2017-02-16,6.1
90,加檬,2017-02-17,7.0
90,加檬,2017-02-18,2.9
90,加檬,2017-02-19,3.8
90,加檬,2017-02-20,4.1
90,加檬,2017-02-21,3.5
90,加檬,2017-02-22,2.5
90,加檬,2017-02-23,3.3
90,加檬,2017-02-24,3.1
90,加檬,2017-02-25,4.5
90,加檬,2017-02-26,5.8
90,加檬,2017-02-27,6.1
90,加檬,2017-02-28,6.6
90,加檬,2017-03-01,6.6
90,加檬,2017-03-02,2.9
90,加檬,2017-03-03,5.3
90,加檬,2017-03-04,4.4
90,加檬,2017-03-05,7.8
90,加檬,2017-03-06,3.2
90,加檬,2017-03-07,4.7
90,加檬,2017-03-08,4.8
90,加檬,2017-03-09,6.9
90,加檬,2017-03-10,8.1
90,加檬,2017-03-11,8.9
90,加檬,2017-03-12,8.8
90,加檬,2017-03-13,10.6
90,加檬,2017-03-14,3.9
90,加檬,2017-03-15,8.3
90,加檬,2017-03-16,9.6
90,加檬,2017-03-17,10.9
90,加檬,2017-03-18,11.7
90,加檬,2017-03-19,13.1
90,加檬,2017-03-20,8.7
90,加檬,2017-03-21,9.1
90,加檬,2017-03-22,11.5
90,加檬,2017-03-23,6.7
90,加檬,2017-03-24,6.7
90,加檬,2017-03-25,6.7
90,加檬,2017-03-26,8.2
90,加檬,2017-03-27,7.9
90,加檬,2017-03-28,9.0
90,加檬,2017-03-29,12.5
90,加檬,2017-03-30,13.2
90,加檬,2017-03-31,8.1
90,加檬,2017-04-01,10.2
90,加檬,2017-04-02,11.8
90,加檬,2017-04-03,15.5
90,加檬,2017-04-04,15.5
90,加檬,2017-04-05,12.0
90,加檬,2017-04-06,17.4
90,加檬,2017-04-07,17.4
90,加檬,2017-04-08,18.1
90,加檬,2017-04-09,16.5
90,加檬,2017-04-10,15.9
90,加檬,2017-04-11,17.0
90,加檬,2017-04-12,16.9
90,加檬,2017-04-13,17.1
90,加檬,2017-04-14,15.0
90,加檬,2017-04-15,21.3
90,加檬,2017-04-16,20.3
90,加檬,2017-04-17,13.1
90,加檬,2017-04-18,12.7
90,加檬,2017-04-19,14.6
90,加檬,2017-04-20,15.6
90,加檬,2017-04-21,18.2
90,加檬,2017-04-22,18.2
90,加檬,2017-04-23,19.7
90,加檬,2017-04-24,20.4
90,加檬,2017-04-25,19.4
90,加檬,2017-04-26,22.0
90,加檬,2017-04-27,20.4
90,加檬,2017-04-28,20.3
90,加檬,2017-04-29,24.0
90,加檬,2017-04-30,26.4
90,加檬,2017-05-01,24.6
90,加檬,2017-05-02,22.4
90,加檬,2017-05-03,24.6
90,加檬,2017-05-04,23.2
90,加檬,2017-05-05,29.1
90,加檬,2017-05-06,25.1
90,加檬,2017-05-07,26.0
90,加檬,2017-05-08,26.8
90,加檬,2017-05-09,21.4
90,加檬,2017-05-10,20.8
90,加檬,2017-05-11,25.2
90,加檬,2017-05-12,21.2
90,加檬,2017-05-13,19.0
90,加檬,2017-05-14,21.2
90,加檬,2017-05-15,22.8
90,加檬,2017-05-16,24.2
90,加檬,2017-05-17,25.7
90,加檬,2017-05-18,28.7
90,加檬,2017-05-19,33.4
90,加檬,2017-05-20,31.4
90,加檬,2017-05-21,30.2
90,加檬,2017-05-22,24.1
90,加檬,2017-05-23,22.0
90,加檬,2017-05-24,25.0
90,加檬,2017-05-25,23.5
90,加檬,2017-05-26,19.3
90,加檬,2017-05-27,25.6
90,加檬,2017-05-28,25.2
90,加檬,2017-05-29,30.7
90,加檬,2017-05-30,25.3
90,加檬,2017-05-31,27.1
90,加檬,2017-06-01,22.0
90,加檬,2017-06-02,22.8
90,加檬,2017-06-03,24.5
90,加檬,2017-06-04,26.1
90,加檬,2017-06-05,26.7
90,加檬,2017-06-06,19.4
90,加檬,2017-06-07,18.5
90,加檬,2017-06-08,26.3
90,加檬,2017-06-09,25.2
90,加檬,2017-06-10,24.2
90,加檬,2017-06-11,24.9
90,加檬,2017-06-12,23.1
90,加檬,2017-06-13,20.4
90,加檬,2017-06-14,27.6
90,加檬,2017-06-15,29.6
90,加檬,2017-06-16,26.0
90,加檬,2017-06-17,27.5
90,加檬,2017-06-18,28.4
90,加檬,2017-06-19,27.4
