瘤痢,瘤痢疙,老矫,乞闭 瘤搁柯档(∑C)
211,牢力,2017-01-01,0.5
211,牢力,2017-01-02,1.0
211,牢力,2017-01-03,1.2
211,牢力,2017-01-04,2.1
211,牢力,2017-01-05,0.6
211,牢力,2017-01-06,2.5
211,牢力,2017-01-07,1.7
211,牢力,2017-01-08,3.8
211,牢力,2017-01-09,3.4
211,牢力,2017-01-10,-1.3
211,牢力,2017-01-11,-2.7
211,牢力,2017-01-12,-1.8
211,牢力,2017-01-13,-2.9
211,牢力,2017-01-14,-5.1
211,牢力,2017-01-15,-5.3
211,牢力,2017-01-16,-4.0
211,牢力,2017-01-17,-3.3
211,牢力,2017-01-18,-2.0
211,牢力,2017-01-19,-1.1
211,牢力,2017-01-20,-1.4
211,牢力,2017-01-21,-2.4
211,牢力,2017-01-22,-0.8
211,牢力,2017-01-23,-2.5
211,牢力,2017-01-24,-3.3
211,牢力,2017-01-25,-3.8
211,牢力,2017-01-26,-2.9
211,牢力,2017-01-27,-0.5
211,牢力,2017-01-28,-1.8
211,牢力,2017-01-29,-0.4
211,牢力,2017-01-30,0.0
211,牢力,2017-01-31,-0.2
211,牢力,2017-02-01,-0.8
211,牢力,2017-02-02,-1.5
211,牢力,2017-02-03,-0.8
211,牢力,2017-02-04,-0.9
211,牢力,2017-02-05,0.2
211,牢力,2017-02-06,0.2
211,牢力,2017-02-07,-0.2
211,牢力,2017-02-08,-0.1
211,牢力,2017-02-09,-0.6
211,牢力,2017-02-10,-2.1
211,牢力,2017-02-11,-2.6
211,牢力,2017-02-12,-1.4
211,牢力,2017-02-13,-0.9
211,牢力,2017-02-14,0.4
211,牢力,2017-02-15,0.4
211,牢力,2017-02-16,3.1
211,牢力,2017-02-17,3.5
211,牢力,2017-02-18,0.5
211,牢力,2017-02-19,0.3
211,牢力,2017-02-20,1.8
211,牢力,2017-02-21,1.2
211,牢力,2017-02-22,0.4
211,牢力,2017-02-23,1.4
211,牢力,2017-02-24,1.8
211,牢力,2017-02-25,2.3
211,牢力,2017-02-26,3.3
211,牢力,2017-02-27,3.2
211,牢力,2017-02-28,3.0
211,牢力,2017-03-01,2.5
211,牢力,2017-03-02,3.2
211,牢力,2017-03-03,3.0
211,牢力,2017-03-04,4.2
211,牢力,2017-03-05,4.2
211,牢力,2017-03-06,3.1
211,牢力,2017-03-07,0.9
211,牢力,2017-03-08,1.6
211,牢力,2017-03-09,2.0
211,牢力,2017-03-10,3.8
211,牢力,2017-03-11,4.2
211,牢力,2017-03-12,5.1
211,牢力,2017-03-13,7.5
211,牢力,2017-03-14,4.6
211,牢力,2017-03-15,5.3
211,牢力,2017-03-16,5.4
211,牢力,2017-03-17,6.9
211,牢力,2017-03-18,7.9
211,牢力,2017-03-19,9.4
211,牢力,2017-03-20,7.1
211,牢力,2017-03-21,5.6
211,牢力,2017-03-22,8.0
211,牢力,2017-03-23,7.6
211,牢力,2017-03-24,8.6
211,牢力,2017-03-25,6.3
211,牢力,2017-03-26,7.0
211,牢力,2017-03-27,8.0
211,牢力,2017-03-28,8.1
211,牢力,2017-03-29,7.9
211,牢力,2017-03-30,9.9
211,牢力,2017-03-31,7.5
211,牢力,2017-04-01,8.4
211,牢力,2017-04-02,9.5
211,牢力,2017-04-03,10.4
211,牢力,2017-04-04,11.1
211,牢力,2017-04-05,10.2
211,牢力,2017-04-06,14.2
211,牢力,2017-04-07,17.4
211,牢力,2017-04-08,16.3
211,牢力,2017-04-09,14.3
211,牢力,2017-04-10,14.3
211,牢力,2017-04-11,13.8
211,牢力,2017-04-12,13.1
211,牢力,2017-04-13,13.3
211,牢力,2017-04-14,12.3
211,牢力,2017-04-15,15.9
211,牢力,2017-04-16,16.7
211,牢力,2017-04-17,12.3
211,牢力,2017-04-18,11.2
211,牢力,2017-04-19,13.2
211,牢力,2017-04-20,12.9
211,牢力,2017-04-21,14.4
211,牢力,2017-04-22,16.5
211,牢力,2017-04-23,15.1
211,牢力,2017-04-24,15.3
211,牢力,2017-04-25,16.1
211,牢力,2017-04-26,18.5
211,牢力,2017-04-27,15.0
211,牢力,2017-04-28,17.2
211,牢力,2017-04-29,18.8
211,牢力,2017-04-30,20.0
211,牢力,2017-05-01,23.1
211,牢力,2017-05-02,23.0
211,牢力,2017-05-03,24.0
211,牢力,2017-05-04,22.6
211,牢力,2017-05-05,26.9
211,牢力,2017-05-06,21.6
211,牢力,2017-05-07,21.9
211,牢力,2017-05-08,21.9
211,牢力,2017-05-09,18.3
211,牢力,2017-05-10,18.2
211,牢力,2017-05-11,23.3
211,牢力,2017-05-12,17.5
211,牢力,2017-05-13,19.8
211,牢力,2017-05-14,16.0
211,牢力,2017-05-15,15.0
211,牢力,2017-05-16,19.8
211,牢力,2017-05-17,17.7
211,牢力,2017-05-18,21.1
211,牢力,2017-05-19,23.1
211,牢力,2017-05-20,25.4
211,牢力,2017-05-21,26.3
211,牢力,2017-05-22,26.0
211,牢力,2017-05-23,20.9
211,牢力,2017-05-24,24.7
211,牢力,2017-05-25,20.8
211,牢力,2017-05-26,16.9
211,牢力,2017-05-27,21.7
211,牢力,2017-05-28,23.2
211,牢力,2017-05-29,26.1
211,牢力,2017-05-30,25.4
211,牢力,2017-05-31,24.0
211,牢力,2017-06-01,25.1
211,牢力,2017-06-02,23.9
211,牢力,2017-06-03,26.2
211,牢力,2017-06-04,26.0
211,牢力,2017-06-05,26.1
211,牢力,2017-06-06,20.1
211,牢力,2017-06-07,18.6
211,牢力,2017-06-08,21.3
211,牢力,2017-06-09,20.7
211,牢力,2017-06-10,22.9
211,牢力,2017-06-11,22.0
211,牢力,2017-06-12,23.4
211,牢力,2017-06-13,22.4
211,牢力,2017-06-14,22.7
211,牢力,2017-06-15,26.3
211,牢力,2017-06-16,27.1
211,牢力,2017-06-17,29.0
211,牢力,2017-06-18,30.0
211,牢力,2017-06-19,28.7
211,牢力,2017-06-20,30.7
211,牢力,2017-06-21,28.1
211,牢力,2017-06-22,29.6
211,牢力,2017-06-23,29.8
211,牢力,2017-06-24,27.0
211,牢力,2017-06-25,23.6
211,牢力,2017-06-26,22.6
211,牢力,2017-06-27,26.9
211,牢力,2017-06-28,27.9
211,牢力,2017-06-29,27.8
211,牢力,2017-06-30,27.8
211,牢力,2017-07-01,26.5
211,牢力,2017-07-02,25.0
211,牢力,2017-07-03,24.7
211,牢力,2017-07-04,27.5
211,牢力,2017-07-05,27.2
211,牢力,2017-07-06,28.6
211,牢力,2017-07-07,27.2
211,牢力,2017-07-08,26.1
211,牢力,2017-07-09,28.9
211,牢力,2017-07-10,25.1
211,牢力,2017-07-11,27.3
211,牢力,2017-07-12,28.7
211,牢力,2017-07-13,28.9
211,牢力,2017-07-14,29.0
211,牢力,2017-07-15,26.3
211,牢力,2017-07-16,26.9
211,牢力,2017-07-17,28.2
211,牢力,2017-07-18,28.5
211,牢力,2017-07-19,29.8
211,牢力,2017-07-20,30.3
211,牢力,2017-07-21,28.3
211,牢力,2017-07-22,24.4
211,牢力,2017-07-23,24.2
211,牢力,2017-07-24,25.4
211,牢力,2017-07-25,29.0
211,牢力,2017-07-26,28.6
211,牢力,2017-07-27,26.4
211,牢力,2017-07-28,25.2
211,牢力,2017-07-29,26.3
211,牢力,2017-07-30,27.4
211,牢力,2017-07-31,25.9
211,牢力,2017-08-01,29.1
211,牢力,2017-08-02,29.3
211,牢力,2017-08-03,28.5
211,牢力,2017-08-04,30.8
211,牢力,2017-08-05,34.0
211,牢力,2017-08-06,33.1
211,牢力,2017-08-07,30.7
