¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’ ¡ˆ∏Èø¬µµ(°∆C)
101,√·√µ,2017-01-01,-0.5
101,√·√µ,2017-01-02,0.6
101,√·√µ,2017-01-03,0.0
101,√·√µ,2017-01-04,0.3
101,√·√µ,2017-01-05,-0.2
101,√·√µ,2017-01-06,1.2
101,√·√µ,2017-01-07,0.6
101,√·√µ,2017-01-08,2.3
101,√·√µ,2017-01-09,3.0
101,√·√µ,2017-01-10,-0.3
101,√·√µ,2017-01-11,-1.7
101,√·√µ,2017-01-12,-1.3
101,√·√µ,2017-01-13,-2.1
101,√·√µ,2017-01-14,-3.6
101,√·√µ,2017-01-15,-4.3
101,√·√µ,2017-01-16,-3.9
101,√·√µ,2017-01-17,-3.4
101,√·√µ,2017-01-18,-2.0
101,√·√µ,2017-01-19,-1.5
101,√·√µ,2017-01-20,-1.2
101,√·√µ,2017-01-21,-2.7
101,√·√µ,2017-01-22,-1.9
101,√·√µ,2017-01-23,-4.4
101,√·√µ,2017-01-24,-4.6
101,√·√µ,2017-01-25,-4.3
101,√·√µ,2017-01-26,-3.0
101,√·√µ,2017-01-27,-0.2
101,√·√µ,2017-01-28,-1.8
101,√·√µ,2017-01-29,-0.3
101,√·√µ,2017-01-30,-0.2
101,√·√µ,2017-01-31,-0.8
101,√·√µ,2017-02-01,-1.5
101,√·√µ,2017-02-02,-2.1
101,√·√µ,2017-02-03,-1.4
101,√·√µ,2017-02-04,-1.1
101,√·√µ,2017-02-05,-0.3
101,√·√µ,2017-02-06,-0.8
101,√·√µ,2017-02-07,-1.4
101,√·√µ,2017-02-08,-1.3
101,√·√µ,2017-02-09,-2.0
101,√·√µ,2017-02-10,-2.9
101,√·√µ,2017-02-11,-3.0
101,√·√µ,2017-02-12,-2.3
101,√·√µ,2017-02-13,-1.6
101,√·√µ,2017-02-14,-0.8
101,√·√µ,2017-02-15,-0.5
101,√·√µ,2017-02-16,0.7
101,√·√µ,2017-02-17,1.9
101,√·√µ,2017-02-18,0.3
101,√·√µ,2017-02-19,-0.2
101,√·√µ,2017-02-20,1.0
101,√·√µ,2017-02-21,0.3
101,√·√µ,2017-02-22,-0.1
101,√·√µ,2017-02-23,1.0
101,√·√µ,2017-02-24,0.7
101,√·√µ,2017-02-25,1.1
101,√·√µ,2017-02-26,1.7
101,√·√µ,2017-02-27,1.6
101,√·√µ,2017-02-28,1.7
101,√·√µ,2017-03-01,1.7
101,√·√µ,2017-03-02,1.9
101,√·√µ,2017-03-03,1.8
101,√·√µ,2017-03-04,2.6
101,√·√µ,2017-03-05,3.2
101,√·√µ,2017-03-06,2.5
101,√·√µ,2017-03-07,1.8
101,√·√µ,2017-03-08,1.4
101,√·√µ,2017-03-09,2.5
101,√·√µ,2017-03-10,3.6
101,√·√µ,2017-03-11,4.4
101,√·√µ,2017-03-12,5.7
101,√·√µ,2017-03-13,6.6
101,√·√µ,2017-03-14,4.9
101,√·√µ,2017-03-15,4.5
101,√·√µ,2017-03-16,4.7
101,√·√µ,2017-03-17,6.0
101,√·√µ,2017-03-18,8.4
101,√·√µ,2017-03-19,8.3
101,√·√µ,2017-03-20,7.1
101,√·√µ,2017-03-21,6.4
101,√·√µ,2017-03-22,7.1
101,√·√µ,2017-03-23,8.3
101,√·√µ,2017-03-24,8.3
101,√·√µ,2017-03-25,6.7
101,√·√µ,2017-03-26,8.9
101,√·√µ,2017-03-27,7.1
101,√·√µ,2017-03-28,7.8
