지점,지점명,일시,평균 지면온도(°C)
216,태백,2017-01-01,-1.8
216,태백,2017-01-02,-1.0
216,태백,2017-01-03,-1.7
216,태백,2017-01-04,-1.5
216,태백,2017-01-05,-1.9
216,태백,2017-01-06,0.1
216,태백,2017-01-07,-2.1
216,태백,2017-01-08,0.9
216,태백,2017-01-09,0.7
216,태백,2017-01-10,-4.5
216,태백,2017-01-11,-5.3
216,태백,2017-01-12,-4.5
216,태백,2017-01-13,-6.9
216,태백,2017-01-14,-8.9
216,태백,2017-01-15,-8.1
216,태백,2017-01-16,-6.1
216,태백,2017-01-17,-6.4
216,태백,2017-01-18,-4.6
216,태백,2017-01-19,-3.9
216,태백,2017-01-20,-4.3
216,태백,2017-01-21,-4.5
216,태백,2017-01-22,-3.8
216,태백,2017-01-23,-5.4
216,태백,2017-01-24,-6.0
216,태백,2017-01-25,-6.6
216,태백,2017-01-26,-5.9
216,태백,2017-01-27,-3.4
216,태백,2017-01-28,-4.7
216,태백,2017-01-29,-2.3
216,태백,2017-01-30,-2.3
216,태백,2017-01-31,-4.7
216,태백,2017-02-01,-4.2
216,태백,2017-02-02,-5.3
216,태백,2017-02-03,-4.1
216,태백,2017-02-04,-2.5
216,태백,2017-02-05,-0.6
216,태백,2017-02-06,-1.3
216,태백,2017-02-07,-2.7
216,태백,2017-02-08,-2.4
216,태백,2017-02-09,-3.2
216,태백,2017-02-10,-6.1
216,태백,2017-02-11,-5.9
216,태백,2017-02-12,-3.9
216,태백,2017-02-13,-2.8
216,태백,2017-02-14,-2.1
216,태백,2017-02-15,-1.4
216,태백,2017-02-16,2.1
216,태백,2017-02-17,3.1
216,태백,2017-02-18,-2.0
216,태백,2017-02-19,-1.3
216,태백,2017-02-20,0.8
216,태백,2017-02-21,-0.9
216,태백,2017-02-22,-1.1
216,태백,2017-02-23,0.7
216,태백,2017-02-24,-1.2
216,태백,2017-02-25,-0.7
216,태백,2017-02-26,-0.5
216,태백,2017-02-27,0.8
216,태백,2017-02-28,1.7
216,태백,2017-03-01,0.8
216,태백,2017-03-02,-0.4
