지역,측정소명,날짜,미세먼지 농도
춘천시,중앙로,2020-11-01,27
춘천시,석사동,2020-11-01,30
춘천시,신사우동,2020-11-01,32
양구군,양구읍,2020-11-01,28
원주시,중앙동,2020-11-01,39
원주시,반곡동,2020-11-01,29
원주시,문막읍,2020-11-01,29
강릉시,옥천동,2020-11-01,29
동해시,천곡동,2020-11-01,25
삼척시,남양동,2020-11-01,20
평창군,평창읍,2020-11-01,34
정선군,정선읍,2020-11-01,31
횡성군,횡성읍,2020-11-01,35
고성군,상리,2020-11-01,34
양양군,양양읍,2020-11-01,30
속초시,금호동,2020-11-01,36
철원군,갈말읍,2020-11-01,41
홍천군,홍천읍,2020-11-01,47
영월군,영월읍,2020-11-01,30
화천군,화천읍,2020-11-01,30
태백시,황지동,2020-11-01,22
인제군,인제읍,2020-11-01,23
춘천시,중앙로,2020-11-02,37
춘천시,석사동,2020-11-02,35
춘천시,신사우동,2020-11-02,33
양구군,양구읍,2020-11-02,24
원주시,중앙동,2020-11-02,41
원주시,반곡동,2020-11-02,35
원주시,문막읍,2020-11-02,34
강릉시,옥천동,2020-11-02,55
동해시,천곡동,2020-11-02,47
삼척시,남양동,2020-11-02,47
평창군,평창읍,2020-11-02,38
정선군,정선읍,2020-11-02,51
횡성군,횡성읍,2020-11-02,32
고성군,상리,2020-11-02,38
양양군,양양읍,2020-11-02,39
속초시,금호동,2020-11-02,47
철원군,갈말읍,2020-11-02,39
홍천군,홍천읍,2020-11-02,40
영월군,영월읍,2020-11-02,26
화천군,화천읍,2020-11-02,26
태백시,황지동,2020-11-02,-787
인제군,인제읍,2020-11-02,30
춘천시,중앙로,2020-11-03,19
춘천시,석사동,2020-11-03,21
춘천시,신사우동,2020-11-03,20
양구군,양구읍,2020-11-03,18
원주시,중앙동,2020-11-03,21
원주시,반곡동,2020-11-03,21
원주시,문막읍,2020-11-03,18
강릉시,옥천동,2020-11-03,22
동해시,천곡동,2020-11-03,20
삼척시,남양동,2020-11-03,20
평창군,평창읍,2020-11-03,25
정선군,정선읍,2020-11-03,-815
횡성군,횡성읍,2020-11-03,20
고성군,상리,2020-11-03,29
양양군,양양읍,2020-11-03,19
속초시,금호동,2020-11-03,25
철원군,갈말읍,2020-11-03,24
홍천군,홍천읍,2020-11-03,27
영월군,영월읍,2020-11-03,22
화천군,화천읍,2020-11-03,18
태백시,황지동,2020-11-03,16
인제군,인제읍,2020-11-03,17
춘천시,중앙로,2020-11-04,27
춘천시,석사동,2020-11-04,32
춘천시,신사우동,2020-11-04,27
양구군,양구읍,2020-11-04,22
원주시,중앙동,2020-11-04,27
원주시,반곡동,2020-11-04,26
원주시,문막읍,2020-11-04,25
강릉시,옥천동,2020-11-04,100
동해시,천곡동,2020-11-04,15
삼척시,남양동,2020-11-04,18
평창군,평창읍,2020-11-04,27
정선군,정선읍,2020-11-04,22
횡성군,횡성읍,2020-11-04,23
고성군,상리,2020-11-04,23
