0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
시군,측정소,평균,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
통합,평균,62,19,16,17,13,25,30,28,20,17,16,16,17,20,18,14,27,34,31,34,14,12,31,32,19,16,14,15,19,18,20,-
춘천시,중앙로,55,15,14,16,12,23,30,27,18,14,12,14,13,17,17,14,30,32,29,29,14,7,27,26,15,14,10,12,13,14,19,-
춘천시,석사동,65,16,16,19,27,28,35,29,24,15,13,13,20,23,16,16,31,34,32,35,14,11,33,31,19,14,12,12,20,19,19,-
원주시,중앙동,85,28,18,19,17,35,40,33,26,23,21,21,23,28,26,15,40,44,49,62,19,17,42,40,25,21,19,21,25,22,28,-
원주시,반곡동,71,25,16,15,10,29,35,30,21,19,16,16,19,22,20,11,35,38,42,55,16,13,39,37,21,17,14,16,21,19,24,-
원주시,문막읍,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,14,13,18,-
강릉시,옥천동,73,21,20,21,14,22,30,32,21,24,23,23,25,29,30,29,29,37,31,28,18,15,34,36,21,19,19,17,21,19,19,-
동해시,천곡동,64,22,20,22,11,24,31,34,21,18,19,16,18,23,19,16,25,39,29,29,15,12,30,35,20,15,12,12,18,16,15,-
삼척시,남양동,58,22,16,20,10,27,28,33,20,15,14,15,16,17,17,13,22,37,28,29,13,13,30,35,18,14,11,11,13,13,11,-
평창군,평창읍,84,25,20,17,16,35,38,35,29,23,24,24,23,24,21,14,29,41,39,42,21,18,40,44,35,29,26,24,25,24,31,-
