지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
90,속초,2017-01-01,49
90,속초,2017-01-02,39
90,속초,2017-01-04,35
90,속초,2017-01-05,14
90,속초,2017-01-06,12
90,속초,2017-01-07,20
90,속초,2017-01-08,9
90,속초,2017-01-11,17
90,속초,2017-01-12,22
90,속초,2017-01-13,17
90,속초,2017-01-14,25
90,속초,2017-01-15,14
90,속초,2017-01-16,24
90,속초,2017-01-17,15
90,속초,2017-01-18,62
90,속초,2017-01-19,51
90,속초,2017-01-20,43
90,속초,2017-01-21,34
90,속초,2017-01-22,47
90,속초,2017-01-23,36
90,속초,2017-01-24,24
90,속초,2017-01-25,22
90,속초,2017-01-27,50
90,속초,2017-01-28,25
90,속초,2017-01-29,17
90,속초,2017-01-30,31
90,속초,2017-01-31,27
90,속초,2017-02-01,21
90,속초,2017-02-02,20
90,속초,2017-02-03,27
90,속초,2017-02-04,51
90,속초,2017-02-05,16
90,속초,2017-02-06,44
90,속초,2017-02-07,25
90,속초,2017-02-09,38
90,속초,2017-02-10,29
90,속초,2017-02-11,22
90,속초,2017-02-12,23
90,속초,2017-02-13,28
90,속초,2017-02-14,34
90,속초,2017-02-15,53
90,속초,2017-02-16,45
90,속초,2017-02-17,34
90,속초,2017-02-18,25
90,속초,2017-02-19,35
90,속초,2017-02-20,38
90,속초,2017-02-22,24
90,속초,2017-02-23,22
90,속초,2017-02-24,19
90,속초,2017-02-25,22
90,속초,2017-02-26,24
90,속초,2017-02-27,21
90,속초,2017-02-28,37
90,속초,2017-03-01,56
90,속초,2017-03-02,28
90,속초,2017-03-03,36
90,속초,2017-03-04,52
90,속초,2017-03-05,49
90,속초,2017-03-06,37
90,속초,2017-03-07,24
90,속초,2017-03-08,32
90,속초,2017-03-09,33
90,속초,2017-03-10,32
90,속초,2017-03-11,32
90,속초,2017-03-12,52
90,속초,2017-03-13,37
90,속초,2017-03-14,32
90,속초,2017-03-15,36
90,속초,2017-03-16,32
90,속초,2017-03-17,38
90,속초,2017-03-18,55
90,속초,2017-03-19,62
90,속초,2017-03-20,48
90,속초,2017-03-21,41
90,속초,2017-03-22,34
90,속초,2017-03-23,41
90,속초,2017-03-24,27
90,속초,2017-03-25,23
90,속초,2017-03-26,24
90,속초,2017-03-27,40
90,속초,2017-03-28,54
90,속초,2017-03-29,55
90,속초,2017-03-30,49
90,속초,2017-03-31,26
90,속초,2017-04-01,15
90,속초,2017-04-02,23
90,속초,2017-04-03,44
90,속초,2017-04-04,51
90,속초,2017-04-05,37
90,속초,2017-04-06,20
90,속초,2017-04-07,24
90,속초,2017-04-08,43
90,속초,2017-04-09,37
90,속초,2017-04-10,27
90,속초,2017-04-11,21
90,속초,2017-04-13,56
90,속초,2017-04-14,34
90,속초,2017-04-15,54
90,속초,2017-04-16,47
90,속초,2017-04-17,35
90,속초,2017-04-18,37
90,속초,2017-04-19,41
90,속초,2017-04-20,42
90,속초,2017-04-21,48
90,속초,2017-04-22,33
90,속초,2017-04-23,36
90,속초,2017-04-24,40
90,속초,2017-04-25,29
90,속초,2017-04-26,25
90,속초,2017-04-27,30
90,속초,2017-04-28,53
90,속초,2017-04-29,49
90,속초,2017-04-30,73
90,속초,2017-05-01,41
90,속초,2017-05-02,23
90,속초,2017-05-03,34
90,속초,2017-05-04,51
90,속초,2017-05-05,53
90,속초,2017-05-06,124
90,속초,2017-05-07,66
90,속초,2017-05-08,86
90,속초,2017-05-09,31
90,속초,2017-05-10,23
90,속초,2017-05-11,48
90,속초,2017-05-12,51
90,속초,2017-05-13,35
90,속초,2017-05-14,36
90,속초,2017-05-15,35
90,속초,2017-05-16,23
90,속초,2017-05-17,23
90,속초,2017-05-18,42
90,속초,2017-05-19,36
90,속초,2017-05-20,38
90,속초,2017-05-21,43
90,속초,2017-05-22,33
90,속초,2017-05-23,24
90,속초,2017-05-24,17
90,속초,2017-05-25,20
90,속초,2017-05-26,36
90,속초,2017-05-27,27
90,속초,2017-05-28,31
90,속초,2017-05-29,60
90,속초,2017-05-30,54
90,속초,2017-05-31,30
90,속초,2017-06-01,28
90,속초,2017-06-03,40
90,속초,2017-06-04,24
90,속초,2017-06-05,19
90,속초,2017-06-06,15
90,속초,2017-06-07,12
90,속초,2017-06-08,29
90,속초,2017-06-09,31
90,속초,2017-06-10,30
90,속초,2017-06-11,25
90,속초,2017-06-12,14
90,속초,2017-06-13,21
90,속초,2017-06-14,28
90,속초,2017-06-15,27
90,속초,2017-06-16,16
90,속초,2017-06-17,19
90,속초,2017-06-18,21
90,속초,2017-06-19,24
90,속초,2017-06-20,33
90,속초,2017-06-21,38
90,속초,2017-06-22,38
90,속초,2017-06-23,33
90,속초,2017-06-24,36
90,속초,2017-06-25,28
90,속초,2017-06-26,15
90,속초,2017-06-27,17
90,속초,2017-06-28,19
90,속초,2017-06-29,25
90,속초,2017-06-30,33
90,속초,2017-07-01,32
90,속초,2017-07-02,16
90,속초,2017-07-04,13
90,속초,2017-07-05,17
90,속초,2017-07-06,20
90,속초,2017-07-07,18
90,속초,2017-07-08,20
90,속초,2017-07-09,22
90,속초,2017-07-10,25
90,속초,2017-07-11,16
90,속초,2017-07-12,39
90,속초,2017-07-13,32
90,속초,2017-07-14,36
90,속초,2017-07-15,18
90,속초,2017-07-16,12
90,속초,2017-07-17,17
90,속초,2017-07-18,14
90,속초,2017-07-19,20
90,속초,2017-07-20,29
90,속초,2017-07-21,37
90,속초,2017-07-22,14
90,속초,2017-07-24,7
90,속초,2017-07-25,14
90,속초,2017-07-26,17
90,속초,2017-07-27,21
90,속초,2017-07-28,15
90,속초,2017-07-29,11
90,속초,2017-07-30,18
90,속초,2017-07-31,8
90,속초,2017-08-01,11
90,속초,2017-08-02,10
90,속초,2017-08-03,14
90,속초,2017-08-04,16
90,속초,2017-08-05,19
90,속초,2017-08-06,19
90,속초,2017-08-07,13
90,속초,2017-08-08,22
90,속초,2017-08-09,25
90,속초,2017-08-10,10
90,속초,2017-08-11,15
90,속초,2017-08-12,13
90,속초,2017-08-13,14
90,속초,2017-08-14,11
90,속초,2017-08-15,12
90,속초,2017-08-16,10
90,속초,2017-08-17,7
90,속초,2017-08-18,10
90,속초,2017-08-19,10
90,속초,2017-08-20,9
90,속초,2017-08-21,12
90,속초,2017-08-23,20
90,속초,2017-08-26,17
90,속초,2017-08-27,19
90,속초,2017-08-28,20
90,속초,2017-08-29,20
90,속초,2017-08-30,18
90,속초,2017-08-31,26
90,속초,2017-09-01,14
90,속초,2017-09-04,18
90,속초,2017-09-05,21
90,속초,2017-09-06,21
90,속초,2017-09-07,24
90,속초,2017-09-08,28
90,속초,2017-09-09,28
90,속초,2017-09-10,35
90,속초,2017-09-11,15
90,속초,2017-09-12,16
90,속초,2017-09-13,21
90,속초,2017-09-14,19
90,속초,2017-09-15,13
90,속초,2017-09-18,18
90,속초,2017-09-19,30
90,속초,2017-09-20,20
90,속초,2017-09-21,17
90,속초,2017-09-22,18
90,속초,2017-09-23,33
90,속초,2017-09-24,47
90,속초,2017-09-25,32
90,속초,2017-09-26,34
90,속초,2017-09-27,31
90,속초,2017-09-28,18
90,속초,2017-09-29,17
90,속초,2017-09-30,33
90,속초,2017-10-01,25
90,속초,2017-10-02,21
90,속초,2017-10-03,20
90,속초,2017-10-04,13
90,속초,2017-10-05,17
90,속초,2017-10-06,10
90,속초,2017-10-07,17
90,속초,2017-10-08,12
90,속초,2017-10-09,14
90,속초,2017-10-11,18
90,속초,2017-10-12,19
90,속초,2017-10-13,14
90,속초,2017-10-14,16
90,속초,2017-10-15,19
90,속초,2017-10-16,22
90,속초,2017-10-17,24
90,속초,2017-10-18,20
90,속초,2017-10-19,14
90,속초,2017-10-20,15
90,속초,2017-10-21,20
90,속초,2017-10-22,32
90,속초,2017-10-23,55
90,속초,2017-10-24,31
90,속초,2017-10-25,26
90,속초,2017-10-26,27
90,속초,2017-10-27,39
90,속초,2017-10-28,35
90,속초,2017-10-29,33
90,속초,2017-10-30,28
90,속초,2017-10-31,20
90,속초,2017-11-01,31
90,속초,2017-11-02,44
90,속초,2017-11-03,37
90,속초,2017-11-04,44
90,속초,2017-11-05,21
90,속초,2017-11-06,20
90,속초,2017-11-07,26
90,속초,2017-11-08,42
90,속초,2017-11-09,41
90,속초,2017-11-10,26
90,속초,2017-11-11,37
90,속초,2017-11-12,29
90,속초,2017-11-13,25
90,속초,2017-11-14,28
90,속초,2017-11-15,15
90,속초,2017-11-16,15
90,속초,2017-11-17,17
90,속초,2017-11-18,29
90,속초,2017-11-19,15
90,속초,2017-11-20,15
90,속초,2017-11-21,14
90,속초,2017-11-22,39
90,속초,2017-11-23,14
90,속초,2017-11-24,13
90,속초,2017-11-25,18
90,속초,2017-11-26,26
90,속초,2017-11-29,30
90,속초,2017-11-30,15
90,속초,2017-12-01,15
90,속초,2017-12-02,16
90,속초,2017-12-03,34
90,속초,2017-12-04,30
90,속초,2017-12-05,12
90,속초,2017-12-06,20
90,속초,2017-12-08,18
90,속초,2017-12-09,18
90,속초,2017-12-10,17
90,속초,2017-12-11,23
90,속초,2017-12-12,14
90,속초,2017-12-13,17
90,속초,2017-12-14,19
90,속초,2017-12-15,16
90,속초,2017-12-16,22
90,속초,2017-12-17,16
90,속초,2017-12-18,26
90,속초,2017-12-19,24
90,속초,2017-12-20,22
90,속초,2017-12-21,20
90,속초,2017-12-22,30
90,속초,2017-12-23,53
90,속초,2017-12-24,34
90,속초,2017-12-25,20
90,속초,2017-12-26,15
90,속초,2017-12-27,12
90,속초,2017-12-28,28
90,속초,2017-12-29,52
90,속초,2017-12-30,49
90,속초,2017-12-31,26
90,속초,2018-01-01,18
90,속초,2018-01-02,23
90,속초,2018-01-03,19
90,속초,2018-01-04,24
90,속초,2018-01-05,20
90,속초,2018-01-06,22
90,속초,2018-01-07,23
90,속초,2018-01-08,14
90,속초,2018-01-09,28
90,속초,2018-01-10,19
90,속초,2018-01-11,22
90,속초,2018-01-12,14
90,속초,2018-01-13,26
90,속초,2018-01-14,31
90,속초,2018-01-15,29
90,속초,2018-01-16,38
90,속초,2018-01-17,47
90,속초,2018-01-18,54
90,속초,2018-01-19,26
90,속초,2018-01-20,82
90,속초,2018-01-21,38
90,속초,2018-01-22,45
90,속초,2018-01-23,15
90,속초,2018-01-24,13
90,속초,2018-01-25,16
90,속초,2018-01-26,17
90,속초,2018-01-27,21
90,속초,2018-01-28,17
90,속초,2018-01-29,26
90,속초,2018-01-30,26
90,속초,2018-01-31,21
90,속초,2018-02-01,22
90,속초,2018-02-02,18
90,속초,2018-02-03,26
90,속초,2018-02-04,24
90,속초,2018-02-05,18
90,속초,2018-02-06,24
90,속초,2018-02-07,23
90,속초,2018-02-08,32
90,속초,2018-02-09,34
90,속초,2018-02-10,48
90,속초,2018-02-11,46
90,속초,2018-02-12,38
90,속초,2018-02-13,39
90,속초,2018-02-14,52
90,속초,2018-02-15,32
90,속초,2018-02-16,31
90,속초,2018-02-17,30
90,속초,2018-02-18,21
90,속초,2018-02-19,40
90,속초,2018-02-20,30
90,속초,2018-02-21,24
90,속초,2018-02-22,40
90,속초,2018-02-23,29
90,속초,2018-02-24,34
90,속초,2018-02-25,33
90,속초,2018-02-26,30
90,속초,2018-02-27,33
90,속초,2018-02-28,35
90,속초,2018-03-01,22
90,속초,2018-03-02,35
90,속초,2018-03-03,35
90,속초,2018-03-04,14
90,속초,2018-03-05,27
90,속초,2018-03-06,34
90,속초,2018-03-07,28
90,속초,2018-03-08,14
90,속초,2018-03-09,38
90,속초,2018-03-10,37
90,속초,2018-03-11,38
90,속초,2018-03-12,55
90,속초,2018-03-13,35
90,속초,2018-03-14,28
