시군명,측정년도,측정월,미세먼지(PM10),측정년도_연도
속초시,2019년,01월,49.0,2019
속초시,2019년,02월,46.0,2019
속초시,2019년,03월,53.0,2019
속초시,2019년,04월,43.0,2019
속초시,2019년,05월,48.0,2019
속초시,2019년,06월,29.0,2019
속초시,2019년,07월,25.0,2019
속초시,2019년,08월,28.0,2019
속초시,2019년,09월,25.0,2019
속초시,2019년,10월,32.0,2019
속초시,2019년,11월,31.0,2019
속초시,2019년,12월,31.0,2019
속초시,2020년,01월,25.0,2020
속초시,2020년,02월,32.0,2020
속초시,2020년,03월,37.0,2020
속초시,2020년,04월,41.0,2020
속초시,2020년,05월,33.0,2020
속초시,2020년,06월,40.0,2020
속초시,2020년,07월,22.0,2020
속초시,2020년,08월,22.0,2020
속초시,2020년,09월,26.0,2020
속초시,2020년,10월,32.0,2020
속초시,2020년,11월,41.0,2020
속초시,2020년,12월,33.0,2020
속초시,2021년,01월,32.0,2021
속초시,2021년,02월,32.0,2021
속초시,2021년,03월,53.0,2021
속초시,2021년,04월,40.0,2021
속초시,2021년,05월,41.0,2021
속초시,2021년,06월,22.0,2021
속초시,2021년,07월,18.0,2021
속초시,2021년,08월,20.0,2021
속초시,2021년,09월,13.0,2021
속초시,2021년,10월,15.0,2021
속초시,2021년,11월,25.0,2021
속초시,2021년,12월,21.0,2021
속초시,2022년,01월,24.0,2022
속초시,2022년,02월,25.0,2022
속초시,2022년,03월,34.0,2022
속초시,2022년,04월,36.0,2022
속초시,2022년,05월,28.0,2022
속초시,2022년,06월,19.0,2022
속초시,2022년,07월,16.0,2022
속초시,2022년,08월,16.0,2022
속초시,2022년,09월,19.0,2022
속초시,2022년,10월,14.0,2022
속초시,2022년,11월,23.0,2022
속초시,2022년,12월,20.0,2022
속초시,2023년,01월,30.0,2023
속초시,2023년,02월,34.0,2023
속초시,2023년,03월,56.0,2023
속초시,2023년,04월,72.0,2023
속초시,2023년,05월,42.0,2023
속초시,2023년,06월,27.0,2023
속초시,2023년,07월,29.0,2023
속초시,2023년,08월,22.0,2023
속초시,2023년,09월,21.0,2023
속초시,2023년,10월,27.0,2023
속초시,2023년,11월,22.0,2023
속초시,2023년,12월,28.0,2023
