시군명,측정년도,측정월,미세먼지(PM10),측정년도_연도
원주시,2017년,01월,78.0,2017
원주시,2017년,02월,70.0,2017
원주시,2017년,03월,74.0,2017
원주시,2017년,04월,65.0,2017
원주시,2017년,05월,60.0,2017
원주시,2017년,06월,40.0,2017
원주시,2017년,07월,28.0,2017
원주시,2017년,08월,15.0,2017
원주시,2017년,09월,30.0,2017
원주시,2017년,10월,27.0,2017
원주시,2017년,11월,52.0,2017
원주시,2017년,12월,58.0,2017
원주시,2018년,01월,58.0,2018
원주시,2018년,02월,37.0,2018
원주시,2018년,03월,41.0,2018
원주시,2018년,04월,54.0,2018
원주시,2018년,05월,45.0,2018
원주시,2018년,06월,45.0,2018
원주시,2018년,07월,32.0,2018
원주시,2018년,08월,26.0,2018
원주시,2018년,09월,28.0,2018
원주시,2018년,10월,0.0,2018
원주시,2018년,11월,63.0,2018
원주시,2018년,12월,56.0,2018
원주시,2019년,01월,79.0,2019
원주시,2019년,02월,71.0,2019
원주시,2019년,03월,80.0,2019
원주시,2019년,04월,52.0,2019
원주시,2019년,05월,59.0,2019
원주시,2019년,06월,41.0,2019
원주시,2019년,07월,31.0,2019
원주시,2019년,08월,37.0,2019
원주시,2019년,09월,27.0,2019
원주시,2019년,10월,27.0,2019
원주시,2019년,11월,39.0,2019
원주시,2019년,12월,38.0,2019
원주시,2020년,01월,36.0,2020
원주시,2020년,02월,30.0,2020
원주시,2020년,03월,32.0,2020
원주시,2020년,04월,33.0,2020
원주시,2020년,05월,26.0,2020
원주시,2020년,06월,30.0,2020
원주시,2020년,07월,15.0,2020
원주시,2020년,08월,20.0,2020
원주시,2020년,09월,18.0,2020
원주시,2020년,10월,33.0,2020
원주시,2020년,11월,40.0,2020
원주시,2020년,12월,43.0,2020
원주시,2021년,01월,39.0,2021
원주시,2021년,02월,44.0,2021
원주시,2021년,03월,58.0,2021
원주시,2021년,04월,42.0,2021
원주시,2021년,05월,57.0,2021
원주시,2021년,06월,30.0,2021
원주시,2021년,07월,23.0,2021
원주시,2021년,08월,23.0,2021
원주시,2021년,09월,15.0,2021
원주시,2021년,10월,25.0,2021
원주시,2021년,11월,45.0,2021
원주시,2021년,12월,41.0,2021
원주시,2022년,01월,45.0,2022
원주시,2022년,02월,38.0,2022
원주시,2022년,03월,43.0,2022
원주시,2022년,04월,40.0,2022
원주시,2022년,05월,35.0,2022
원주시,2022년,06월,25.0,2022
원주시,2022년,07월,23.0,2022
원주시,2022년,08월,19.0,2022
원주시,2022년,09월,19.0,2022
원주시,2022년,10월,22.0,2022
원주시,2022년,11월,38.0,2022
원주시,2022년,12월,36.0,2022
원주시,2023년,01월,38.0,2023
원주시,2023년,02월,38.0,2023
원주시,2023년,03월,62.0,2023
원주시,2023년,04월,69.0,2023
원주시,2023년,05월,50.0,2023
원주시,2023년,06월,41.0,2023
원주시,2023년,07월,34.0,2023
원주시,2023년,08월,25.0,2023
원주시,2023년,09월,23.0,2023
원주시,2023년,10월,28.0,2023
원주시,2023년,11월,36.0,2023
원주시,2023년,12월,33.0,2023
