시군명,측정년도,측정월,미세먼지(PM10),측정년도_연도
춘천시,2017년,01월,64.0,2017
춘천시,2017년,02월,56.0,2017
춘천시,2017년,03월,58.0,2017
춘천시,2017년,04월,55.0,2017
춘천시,2017년,05월,65.0,2017
춘천시,2017년,06월,41.0,2017
춘천시,2017년,07월,31.0,2017
춘천시,2017년,08월,19.0,2017
춘천시,2017년,09월,30.0,2017
춘천시,2017년,10월,27.0,2017
춘천시,2017년,11월,47.0,2017
춘천시,2017년,12월,49.0,2017
춘천시,2018년,01월,54.0,2018
춘천시,2018년,02월,56.0,2018
춘천시,2018년,03월,49.0,2018
춘천시,2018년,04월,57.0,2018
춘천시,2018년,05월,36.0,2018
춘천시,2018년,06월,29.0,2018
춘천시,2018년,07월,24.0,2018
춘천시,2018년,08월,19.0,2018
춘천시,2018년,09월,18.0,2018
춘천시,2018년,10월,25.0,2018
춘천시,2018년,11월,43.0,2018
춘천시,2018년,12월,48.0,2018
춘천시,2019년,01월,72.0,2019
춘천시,2019년,02월,59.0,2019
춘천시,2019년,03월,65.0,2019
춘천시,2019년,04월,40.0,2019
춘천시,2019년,05월,48.0,2019
춘천시,2019년,06월,31.0,2019
춘천시,2019년,07월,25.0,2019
춘천시,2019년,08월,28.0,2019
춘천시,2019년,09월,20.0,2019
춘천시,2019년,10월,31.0,2019
춘천시,2019년,11월,46.0,2019
춘천시,2019년,12월,46.0,2019
춘천시,2020년,01월,43.0,2020
춘천시,2020년,02월,40.0,2020
춘천시,2020년,03월,40.0,2020
춘천시,2020년,04월,43.0,2020
춘천시,2020년,05월,29.0,2020
춘천시,2020년,06월,36.0,2020
춘천시,2020년,07월,17.0,2020
춘천시,2020년,08월,0.0,2020
춘천시,2020년,09월,0.0,2020
춘천시,2020년,10월,0.0,2020
춘천시,2020년,11월,37.0,2020
춘천시,2020년,12월,39.0,2020
춘천시,2021년,01월,36.0,2021
춘천시,2021년,02월,40.0,2021
춘천시,2021년,03월,51.0,2021
춘천시,2021년,04월,38.0,2021
춘천시,2021년,05월,53.0,2021
춘천시,2021년,06월,26.0,2021
춘천시,2021년,07월,21.0,2021
춘천시,2021년,08월,21.0,2021
춘천시,2021년,09월,12.0,2021
춘천시,2021년,10월,21.0,2021
춘천시,2021년,11월,40.0,2021
춘천시,2021년,12월,33.0,2021
춘천시,2022년,01월,40.0,2022
춘천시,2022년,02월,35.0,2022
춘천시,2022년,03월,36.0,2022
춘천시,2022년,04월,43.0,2022
춘천시,2022년,05월,29.0,2022
춘천시,2022년,06월,22.0,2022
춘천시,2022년,07월,21.0,2022
춘천시,2022년,08월,20.0,2022
춘천시,2022년,09월,17.0,2022
춘천시,2022년,10월,16.0,2022
춘천시,2022년,11월,34.0,2022
춘천시,2022년,12월,34.0,2022
춘천시,2023년,01월,39.0,2023
춘천시,2023년,02월,38.0,2023
춘천시,2023년,03월,55.0,2023
춘천시,2023년,04월,52.0,2023
춘천시,2023년,05월,35.0,2023
춘천시,2023년,06월,25.0,2023
춘천시,2023년,07월,28.0,2023
춘천시,2023년,08월,20.0,2023
춘천시,2023년,09월,21.0,2023
춘천시,2023년,10월,22.0,2023
춘천시,2023년,11월,25.0,2023
춘천시,2023년,12월,30.0,2023
