시군명,측정년도,측정월,미세먼지(PM10),측정년도_연도
태백시,2019년,02월,41.0,2019
태백시,2019년,03월,50.0,2019
태백시,2019년,04월,36.0,2019
태백시,2019년,05월,42.0,2019
태백시,2019년,06월,28.0,2019
태백시,2019년,07월,31.0,2019
태백시,2019년,08월,31.0,2019
태백시,2019년,09월,25.0,2019
태백시,2019년,10월,31.0,2019
태백시,2019년,11월,38.0,2019
태백시,2019년,12월,36.0,2019
태백시,2020년,01월,33.0,2020
태백시,2020년,02월,34.0,2020
태백시,2020년,03월,36.0,2020
태백시,2020년,04월,40.0,2020
태백시,2020년,05월,32.0,2020
태백시,2020년,06월,35.0,2020
태백시,2020년,07월,13.0,2020
태백시,2020년,08월,14.0,2020
태백시,2020년,09월,15.0,2020
태백시,2020년,10월,23.0,2020
태백시,2020년,11월,25.0,2020
태백시,2020년,12월,26.0,2020
태백시,2021년,01월,29.0,2021
태백시,2021년,02월,32.0,2021
태백시,2021년,03월,46.0,2021
태백시,2021년,04월,35.0,2021
태백시,2021년,05월,37.0,2021
태백시,2021년,06월,21.0,2021
태백시,2021년,07월,13.0,2021
태백시,2021년,08월,13.0,2021
태백시,2021년,09월,8.0,2021
태백시,2021년,10월,13.0,2021
태백시,2021년,11월,27.0,2021
태백시,2021년,12월,23.0,2021
태백시,2022년,01월,24.0,2022
태백시,2022년,02월,28.0,2022
태백시,2022년,03월,36.0,2022
태백시,2022년,04월,32.0,2022
태백시,2022년,05월,27.0,2022
태백시,2022년,06월,17.0,2022
태백시,2022년,07월,13.0,2022
태백시,2022년,08월,11.0,2022
태백시,2022년,09월,11.0,2022
태백시,2022년,10월,12.0,2022
태백시,2022년,11월,25.0,2022
태백시,2022년,12월,22.0,2022
태백시,2023년,01월,29.0,2023
태백시,2023년,02월,30.0,2023
태백시,2023년,03월,51.0,2023
태백시,2023년,04월,60.0,2023
태백시,2023년,05월,28.0,2023
태백시,2023년,06월,17.0,2023
태백시,2023년,07월,11.0,2023
태백시,2023년,08월,7.0,2023
태백시,2023년,09월,13.0,2023
태백시,2023년,10월,20.0,2023
태백시,2023년,11월,20.0,2023
태백시,2023년,12월,27.0,2023
